drv_trade_id,drv_trade_client_trader_id,drv_trade_client_account_execution_id,floor_broker,date,side,quantity,component_type,contract_type,symbol,expiry,strike,option,price,client_id,client,trader,modifiedDate,modifiedSide,modifiedQuantity,modifiedSymbol,modifiedExpiry,modifiedExpiryMonthOnly,modifiedExpiryYearOnly,modifiedStrike,modifiedOption,modifiedPrice,charge,groupsSeparated,key
54921,111900,282136,WEX FIX,06/04/2021,sell,319,leg,option,BTWN,7/16/2021,10,call,0.4322,659,milton arbitrage,milton,4/6/2021,s,319,btwn,16/7/2021,7,2021,10,c,0.43,-16.99,"[{""drv_trade_id"":""54921"",""drv_trade_client_trader_id"":""111900"",""drv_trade_client_account_execution_id"":""282136"",""floor_broker"":""WEX FIX"",""date"":""06/04/2021"",""side"":""sell"",""quantity"":""319"",""component_type"":""leg"",""contract_type"":""option"",""symbol"":""BTWN"",""expiry"":""7/16/2021"",""strike"":""10"",""option"":""call"",""price"":""0.4322"",""client_id"":""659"",""client"":""milton arbitrage"",""trader"":""milton"",""modifiedDate"":""4/6/2021"",""modifiedSide"":""s"",""modifiedQuantity"":319,""modifiedSymbol"":""btwn"",""modifiedExpiry"":""16/7/2021"",""modifiedExpiryMonthOnly"":""7"",""modifiedExpiryYearOnly"":""2021"",""modifiedStrike"":10,""modifiedOption"":""c"",""modifiedPrice"":0.43}]",4/6/2021|s|btwn|10|16/7/2021|c|0.43|319
54928,111915,282173,WEX FIX,06/04/2021,sell,120,leg,option,CLDR,6/18/2021,16,call,0.0583,714,vivaldi,vivaldi,4/6/2021,s,120,cldr,18/6/2021,6,2021,16,c,0.06,41.83,"[{""drv_trade_id"":""54928"",""drv_trade_client_trader_id"":""111915"",""drv_trade_client_account_execution_id"":""282173"",""floor_broker"":""WEX FIX"",""date"":""06/04/2021"",""side"":""sell"",""quantity"":""120"",""component_type"":""leg"",""contract_type"":""option"",""symbol"":""CLDR"",""expiry"":""6/18/2021"",""strike"":""16"",""option"":""call"",""price"":""0.0583"",""client_id"":""714"",""client"":""vivaldi"",""trader"":""vivaldi"",""modifiedDate"":""4/6/2021"",""modifiedSide"":""s"",""modifiedQuantity"":120,""modifiedSymbol"":""cldr"",""modifiedExpiry"":""18/6/2021"",""modifiedExpiryMonthOnly"":""6"",""modifiedExpiryYearOnly"":""2021"",""modifiedStrike"":16,""modifiedOption"":""c"",""modifiedPrice"":0.06}]",4/6/2021|s|cldr|16|18/6/2021|c|0.06|120
54919,111897,282126,Mando,06/04/2021,sell,100,leg,option,IPOF,7/16/2021,10,call,0.3679,659,milton arbitrage,milton,4/6/2021,s,100,ipof,16/7/2021,7,2021,10,c,0.37,11,"[{""drv_trade_id"":""54919"",""drv_trade_client_trader_id"":""111897"",""drv_trade_client_account_execution_id"":""282126"",""floor_broker"":""Mando"",""date"":""06/04/2021"",""side"":""sell"",""quantity"":""100"",""component_type"":""leg"",""contract_type"":""option"",""symbol"":""IPOF"",""expiry"":""7/16/2021"",""strike"":""10"",""option"":""call"",""price"":""0.3679"",""client_id"":""659"",""client"":""milton arbitrage"",""trader"":""milton"",""modifiedDate"":""4/6/2021"",""modifiedSide"":""s"",""modifiedQuantity"":100,""modifiedSymbol"":""ipof"",""modifiedExpiry"":""16/7/2021"",""modifiedExpiryMonthOnly"":""7"",""modifiedExpiryYearOnly"":""2021"",""modifiedStrike"":10,""modifiedOption"":""c"",""modifiedPrice"":0.37}]",4/6/2021|s|ipof|10|16/7/2021|c|0.37|100
54827,111673,281562,WEX FIX,06/04/2021,sell,21,leg,option,BTWN,7/16/2021,10,call,0.4452,714,vivaldi,vivaldi,4/6/2021,s,21,btwn,16/7/2021,7,2021,10,c,0.45,11.96,"[{""drv_trade_id"":""54827"",""drv_trade_client_trader_id"":""111673"",""drv_trade_client_account_execution_id"":""281562"",""floor_broker"":""WEX FIX"",""date"":""06/04/2021"",""side"":""sell"",""quantity"":""21"",""component_type"":""leg"",""contract_type"":""option"",""symbol"":""BTWN"",""expiry"":""7/16/2021"",""strike"":""10"",""option"":""call"",""price"":""0.4452"",""client_id"":""714"",""client"":""vivaldi"",""trader"":""vivaldi"",""modifiedDate"":""4/6/2021"",""modifiedSide"":""s"",""modifiedQuantity"":21,""modifiedSymbol"":""btwn"",""modifiedExpiry"":""16/7/2021"",""modifiedExpiryMonthOnly"":""7"",""modifiedExpiryYearOnly"":""2021"",""modifiedStrike"":10,""modifiedOption"":""c"",""modifiedPrice"":0.45}]",4/6/2021|s|btwn|10|16/7/2021|c|0.45|21
54829,111675,281566,WEX FIX,06/04/2021,sell,93,leg,option,IPOF,7/16/2021,10,call,0.3801,714,vivaldi,vivaldi,4/6/2021,s,93,ipof,16/7/2021,7,2021,10,c,0.38,49.19,"[{""drv_trade_id"":""54829"",""drv_trade_client_trader_id"":""111675"",""drv_trade_client_account_execution_id"":""281566"",""floor_broker"":""WEX FIX"",""date"":""06/04/2021"",""side"":""sell"",""quantity"":""93"",""component_type"":""leg"",""contract_type"":""option"",""symbol"":""IPOF"",""expiry"":""7/16/2021"",""strike"":""10"",""option"":""call"",""price"":""0.3801"",""client_id"":""714"",""client"":""vivaldi"",""trader"":""vivaldi"",""modifiedDate"":""4/6/2021"",""modifiedSide"":""s"",""modifiedQuantity"":93,""modifiedSymbol"":""ipof"",""modifiedExpiry"":""16/7/2021"",""modifiedExpiryMonthOnly"":""7"",""modifiedExpiryYearOnly"":""2021"",""modifiedStrike"":10,""modifiedOption"":""c"",""modifiedPrice"":0.38}]",4/6/2021|s|ipof|10|16/7/2021|c|0.38|93
54760,111522,281158,Mando,06/04/2021,sell,1101,leg,option,WISH,1/21/2022,7.5,put,2.136785,191,bnp ny,Shui Ling Geng,4/6/2021,s,1101,wish,21/1/2022,1,2022,7.5,p,2.14,55.05,"[{""drv_trade_id"":""54760"",""drv_trade_client_trader_id"":""111522"",""drv_trade_client_account_execution_id"":""281158"",""floor_broker"":""Mando"",""date"":""06/04/2021"",""side"":""sell"",""quantity"":""1101"",""component_type"":""leg"",""contract_type"":""option"",""symbol"":""WISH"",""expiry"":""1/21/2022"",""strike"":""7.5"",""option"":""put"",""price"":""2.136785"",""client_id"":""191"",""client"":""bnp ny"",""trader"":""Shui Ling Geng"",""modifiedDate"":""4/6/2021"",""modifiedSide"":""s"",""modifiedQuantity"":1101,""modifiedSymbol"":""wish"",""modifiedExpiry"":""21/1/2022"",""modifiedExpiryMonthOnly"":""1"",""modifiedExpiryYearOnly"":""2022"",""modifiedStrike"":7.5,""modifiedOption"":""p"",""modifiedPrice"":2.14}]",4/6/2021|s|wish|7.5|21/1/2022|p|2.14|1101
54918,111896,282125,WEX FIX,06/07/2021,sell,245,leg,option,QELL,7/16/2021,10,call,0.1,659,milton arbitrage,milton,7/6/2021,s,245,qell,16/7/2021,7,2021,10,c,0.1,138.65,"[{""drv_trade_id"":""54918"",""drv_trade_client_trader_id"":""111896"",""drv_trade_client_account_execution_id"":""282125"",""floor_broker"":""WEX FIX"",""date"":""06/07/2021"",""side"":""sell"",""quantity"":""245"",""component_type"":""leg"",""contract_type"":""option"",""symbol"":""QELL"",""expiry"":""7/16/2021"",""strike"":""10"",""option"":""call"",""price"":""0.1"",""client_id"":""659"",""client"":""milton arbitrage"",""trader"":""milton"",""modifiedDate"":""7/6/2021"",""modifiedSide"":""s"",""modifiedQuantity"":245,""modifiedSymbol"":""qell"",""modifiedExpiry"":""16/7/2021"",""modifiedExpiryMonthOnly"":""7"",""modifiedExpiryYearOnly"":""2021"",""modifiedStrike"":10,""modifiedOption"":""c"",""modifiedPrice"":0.1}]",7/6/2021|s|qell|10|16/7/2021|c|0.1|245
54915,111889,282099,WEX FIX,06/08/2021,sell,19,leg,option,IPOF,8/20/2021,10,call,0.54,714,vivaldi,vivaldi,8/6/2021,s,19,ipof,20/8/2021,8,2021,10,c,0.54,1.19,"[{""drv_trade_id"":""54915"",""drv_trade_client_trader_id"":""111889"",""drv_trade_client_account_execution_id"":""282099"",""floor_broker"":""WEX FIX"",""date"":""06/08/2021"",""side"":""sell"",""quantity"":""19"",""component_type"":""leg"",""contract_type"":""option"",""symbol"":""IPOF"",""expiry"":""8/20/2021"",""strike"":""10"",""option"":""call"",""price"":""0.54"",""client_id"":""714"",""client"":""vivaldi"",""trader"":""vivaldi"",""modifiedDate"":""8/6/2021"",""modifiedSide"":""s"",""modifiedQuantity"":19,""modifiedSymbol"":""ipof"",""modifiedExpiry"":""20/8/2021"",""modifiedExpiryMonthOnly"":""8"",""modifiedExpiryYearOnly"":""2021"",""modifiedStrike"":10,""modifiedOption"":""c"",""modifiedPrice"":0.54}]",8/6/2021|s|ipof|10|20/8/2021|c|0.54|19
54900,111836,281955,Mando,06/08/2021,buy,2500,leg,option,GDX,1/20/2023,30,put,2.32,251,ubs,nelson zhu,8/6/2021,b,2500,gdx,20/1/2023,1,2023,30,p,2.32,175,"[{""drv_trade_id"":""54900"",""drv_trade_client_trader_id"":""111836"",""drv_trade_client_account_execution_id"":""281955"",""floor_broker"":""Mando"",""date"":""06/08/2021"",""side"":""buy"",""quantity"":""2500"",""component_type"":""leg"",""contract_type"":""option"",""symbol"":""GDX"",""expiry"":""1/20/2023"",""strike"":""30"",""option"":""put"",""price"":""2.32"",""client_id"":""251"",""client"":""ubs"",""trader"":""nelson zhu"",""modifiedDate"":""8/6/2021"",""modifiedSide"":""b"",""modifiedQuantity"":2500,""modifiedSymbol"":""gdx"",""modifiedExpiry"":""20/1/2023"",""modifiedExpiryMonthOnly"":""1"",""modifiedExpiryYearOnly"":""2023"",""modifiedStrike"":30,""modifiedOption"":""p"",""modifiedPrice"":2.32}]",8/6/2021|b|gdx|30|20/1/2023|p|2.32|2500
54900,111836,281956,Mando,06/08/2021,buy,2500,leg,option,GDX,1/20/2023,60,call,1.83,251,ubs,nelson zhu,8/6/2021,b,2500,gdx,20/1/2023,1,2023,60,c,1.83,175,"[{""drv_trade_id"":""54900"",""drv_trade_client_trader_id"":""111836"",""drv_trade_client_account_execution_id"":""281956"",""floor_broker"":""Mando"",""date"":""06/08/2021"",""side"":""buy"",""quantity"":""2500"",""component_type"":""leg"",""contract_type"":""option"",""symbol"":""GDX"",""expiry"":""1/20/2023"",""strike"":""60"",""option"":""call"",""price"":""1.83"",""client_id"":""251"",""client"":""ubs"",""trader"":""nelson zhu"",""modifiedDate"":""8/6/2021"",""modifiedSide"":""b"",""modifiedQuantity"":2500,""modifiedSymbol"":""gdx"",""modifiedExpiry"":""20/1/2023"",""modifiedExpiryMonthOnly"":""1"",""modifiedExpiryYearOnly"":""2023"",""modifiedStrike"":60,""modifiedOption"":""c"",""modifiedPrice"":1.83}]",8/6/2021|b|gdx|60|20/1/2023|c|1.83|2500
