charge,drv_trade_client_account_execution_id,drv_trade_floor_broker_id
-0.2,undefined,1
-0.74,undefined,1
-0.2,undefined,1
-0.5,undefined,1
-0.2,undefined,1
35,305894,1
70,305912,1
70,305913,1
21,306025,1
5.5,undefined,1
2.2,undefined,1
4.4,undefined,1
1.1,undefined,1
4.95,undefined,1
0.55,undefined,1
2.2,undefined,1
-0.25,undefined,1
4.24,undefined,1
1.08,undefined,1
2.1,undefined,1
1.5225,undefined,1
2.94,undefined,1
49,306179,1
1.47,undefined,1
7.2,undefined,1
7.2,undefined,1
14.4,undefined,1
2.7000000000000006,undefined,1
4.5,undefined,1
0.9,undefined,1
0.63,undefined,1
0.2,undefined,1
0.4,undefined,1
25.2,undefined,1
0.55,undefined,1
0.0525,undefined,1
0.05,undefined,1
1.8,undefined,1
0.9,undefined,1
2.8,undefined,1
0.48,undefined,1
0.04,undefined,1
9.9,undefined,1
2.7000000000000006,undefined,1
14.4,undefined,1
3.6,undefined,1
18,undefined,1
0.8,undefined,1
0.55,undefined,1
7.6000000000000005,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
0.5,undefined,1
8.1,undefined,1
3.6,undefined,1
22.5,undefined,1
-7.2,undefined,1
-0.45,undefined,1
-0.45,undefined,1
0.9,undefined,1
8.1,undefined,1
0.05,undefined,1
1.25,undefined,1
16.2,undefined,1
0.8,undefined,1
-0.3,undefined,1
0.42,undefined,1
0.2,undefined,1
-0.3,undefined,1
-0.37,undefined,1
-0.38,undefined,1
0.08,undefined,1
0.8999999999999999,undefined,1
0.8,undefined,1
0.2,undefined,1
0.5,undefined,1
2.35,undefined,1
0.4,undefined,1
4.5,undefined,1
13.5,undefined,1
1.8,undefined,1
0.3675,undefined,1
0.12,undefined,1
0.9,undefined,1
0.9,undefined,1
24.3,undefined,1
5.400000000000001,undefined,1
7.2,undefined,1
0.2,undefined,1
0.9,undefined,1
0.6,undefined,1
0.12,undefined,1
11.7,undefined,1
12.6,undefined,1
6.3,undefined,1
0.3,undefined,1
0.105,undefined,1
0.9,undefined,1
1.8,undefined,1
7.2,undefined,1
3.6,undefined,1
0.4,undefined,1
0.4724999999999999,undefined,1
5.400000000000001,undefined,1
0.1,undefined,1
0.2,undefined,1
9.9,undefined,1
-0.8,322347,1
-0.25,undefined,1
13.125,undefined,1
2.1,undefined,1
56,306937,1
2.7000000000000006,undefined,1
5.400000000000001,undefined,1
0.16,undefined,1
0.16,undefined,1
9,undefined,1
0.105,undefined,1
0.3,undefined,1
2.7000000000000006,undefined,1
9,undefined,1
0.44999999999999996,undefined,1
1.8,undefined,1
0.15,undefined,1
2.7000000000000006,undefined,1
9,undefined,1
0.9500000000000001,undefined,1
0.9500000000000001,undefined,1
0.735,undefined,1
0.735,undefined,1
1.05,undefined,1
0.9,undefined,1
2.7000000000000006,undefined,1
5.400000000000001,undefined,1
1.8,undefined,1
5.400000000000001,undefined,1
2.1,undefined,1
15.4,undefined,1
4.5,undefined,1
2.7000000000000006,undefined,1
1.05,undefined,1
2.7000000000000006,undefined,1
1.8,undefined,1
0.9,undefined,1
2.5,undefined,1
0.6825,undefined,1
0.21,undefined,1
0.4,undefined,1
0.3,undefined,1
1.05,undefined,1
0.9,undefined,1
1.45,undefined,1
0.15,undefined,1
0.44999999999999996,undefined,1
0.4,undefined,1
0.15,undefined,1
0.1,undefined,1
0.05,undefined,1
1.8,undefined,1
64.8,undefined,1
0.9,undefined,1
0.08,undefined,1
0.04,undefined,1
0.0525,undefined,1
0.15,undefined,1
0.05,undefined,1
0.1,undefined,1
0.05,undefined,1
0.105,undefined,1
0.0525,undefined,1
0.08,undefined,1
0.0525,undefined,1
0.1,undefined,1
0.05,undefined,1
0.1,undefined,1
0.05,undefined,1
0.1,undefined,1
0.05,undefined,1
0.1,undefined,1
0.05,undefined,1
0.05,undefined,1
0.04,undefined,1
0.0525,undefined,1
0.05,undefined,1
0.04,undefined,1
0.0525,undefined,1
0.04,undefined,1
0.05,undefined,1
0.04,undefined,1
0.0525,undefined,1
0.04,undefined,1
0.05,undefined,1
0.04,undefined,1
0.0525,undefined,1
0.04,undefined,1
0.05,undefined,1
0.04,undefined,1
0.0525,undefined,1
0.04,undefined,1
0.05,undefined,1
0.0525,undefined,1
0.04,undefined,1
0.05,undefined,1
0.04,undefined,1
0.0525,undefined,1
0.04,undefined,1
0.05,undefined,1
0.0525,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
0.1575,undefined,1
0.05,undefined,1
0.1,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
0.1,undefined,1
0.0525,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
0.05,undefined,1
