drv_trade_floor_broker_id,drv_trade_client_account_execution_id,charge
14,279391,35
14,323850,58.8
14,323848,140
14,309467,291.4280727272727
14,309469,6.721927272727273
14,281559,-0.81
14,279798,0.9
14,282169,100.54818
14,282171,2.26182
14,280146,245
14,280493,175
14,280495,175
14,309500,-2.443636363636364
14,309502,-0.07636363636363637
14,306517,22.56
14,306515,30.25
14,280797,26.6
14,280793,26.6
14,280795,70
14,280791,58.8
14,280789,210
14,282136,-16.99
14,282173,41.83
14,282126,11
14,281562,11.96
14,281566,49.19
14,281158,55.05
14,282125,138.65
14,282099,1.19
14,281789,175
14,281791,175
14,281955,175
14,281956,175
14,282872,92.46
14,283212,179.54
14,305647,1.02
14,283695,40.55
14,283719,25
14,305653,47.26937590711176
14,305655,5.260624092888244
14,284232,-205.13
14,284227,73.35
14,284229,16.39
14,284709,70
14,284710,70
14,285008,5.02
14,285006,629.47
14,285010,43.73
14,284996,-0.8
14,284924,350
14,284920,350
14,285893,5.55
14,285836,56
14,285839,56
14,306068,47.64
14,288458,1.59
14,288323,13.9
14,289111,10.9
14,289106,-113.64
14,289107,-11.3
14,289750,75.58
14,306072,6.63
14,307188,-39.3
14,289744,-62.02
14,290388,-41.31
14,290386,-0.78
14,290384,37.5
14,291522,95.83
14,291520,34.7
14,291526,56.01
14,291524,-14.19
14,291920,55.65
14,291928,39.75
14,291922,127.9
14,292878,-7.2
14,293453,21.31
14,282872,50
14,283212,50
14,305647,1
14,305655,3.45
14,305653,31
14,284996,0.05
14,285008,0.55
14,285006,104.65
14,288323,7.85
14,306068,5.95
14,289111,0.7
14,289107,10
14,306072,4.8
14,289744,25
14,290386,1
14,291524,6.5
14,291526,3.75
14,291522,8.05
14,291922,10.4
14,291920,27.95
14,292878,0.45
14,293453,1.75
