charge,drv_trade_client_account_execution_id,drv_trade_floor_broker_id
35,305657,1
70,305658,1
70,305659,1
21,305660,1
-1.84,305661,1
49,305662,1
12.86,305702,1
181.6,305703,1
-0.8,305704,1
24.99,305705,1
undefined,305706,1
undefined,305707,1
undefined,305708,1
undefined,305709,1
56,305710,1
171.7,305711,1
12.91,305712,1
0.05,305713,1
5.78,305714,1
0.75,305715,1
70,305716,1
-256.15,305717,1
undefined,305718,1
undefined,305719,1
undefined,305720,1
undefined,305721,1
23.72,305722,1
154,305723,1
154,305724,1
332.5,305725,1
0.2,305726,1
1.08,305727,1
undefined,305728,1
undefined,305729,1
0.9,305730,1
35,305731,1
12.25,305732,1
21.35,305733,1
-72.61,305734,1
-1.5,305735,1
143.92,305736,1
0.9,305737,1
undefined,305738,1
undefined,305739,1
-19.62,305740,1
4.86,305741,1
undefined,305742,1
undefined,305743,1
21,305744,1
-6.82,305745,1
-39.47,305746,1
76.08,305747,1
181.3,305748,1
8.56,305749,1
85.7,305750,1
-24.03,305751,1
-159.94,305752,1
33.1,305753,1
-135.75,305754,1
17.5,305755,1
17.5,305756,1
206.5,305757,1
-157.93,305758,1
-96.29,305759,1
-395.07,305760,1
-107.65,305761,1
-0.81,305762,1
107.47,305763,1
677.52,305764,1
-4.11,305765,1
-1.61,305766,1
42,305767,1
-25.98,305768,1
-104.92,305769,1
35,305770,1
-59.14,305771,1
140,305772,1
21,314437,1
14,314481,1
