drv_trade_floor_broker_id,drv_trade_client_account_execution_id,charge
23,328406,250
23,328672,39
23,328446,52.5
23,328448,37.5
23,328447,52.5
23,328449,37.5
23,329223,180
23,329647,45
23,329656,4.5
23,329645,30
23,329654,3
23,329775,39
23,329635,600
23,329636,600
23,329785,75
23,345618,15
23,330147,7.5
23,330149,7.5
23,330641,60
23,330636,150
23,330594,125
23,330830,35
23,330951,30
23,331603,200
23,331607,132.5
23,331274,105
23,331272,210
23,331452,200
23,331453,50
23,331876,75
23,331920,70
23,332405,15
23,332502,117.5
23,332117,90
23,332990,60
23,332991,60
23,333404,200
23,345682,52.5
23,334432,15
23,334796,4
23,334777,45
23,335115,60
23,335660,7.5
23,335659,7.5
23,336696,75
23,337650,10
23,337561,135
23,337638,17.5
23,337367,10
23,337731,18
23,337253,15
23,337987,15
23,338744,20
23,338951,50
23,339932,45
23,339406,45
23,339414,25
23,339400,66
23,328658,28.5
23,329106,15
23,329107,15
23,328892,25
23,328921,80
23,329214,2.5
23,329311,30
23,329250,62.5
23,329252,62.5
23,329522,12.5
23,329630,25
23,329579,280
23,329583,280
23,329603,135
23,329812,112.5
23,329902,55
23,329534,90
23,330399,75
23,330402,-187.5
23,330064,10
23,330157,62.5
23,330096,100
23,330100,60
23,330190,12.5
23,330082,420
23,330668,50
23,330518,50
23,346481,105
23,346475,25
23,346478,10
23,330880,200
23,331007,37.5
23,345624,120
23,330687,46.55
23,330689,28.45
23,330806,80
23,331016,33.75
23,334812,5
23,331349,140
23,331211,21
23,331343,5
23,331466,26.25
23,331381,400
23,332009,240
23,332257,45
23,332492,60
23,346883,20
23,332164,42
23,332299,18.75
23,332111,54.75
23,345672,55.6
23,333553,12.5
23,333556,-56.25
23,333146,315
23,333030,85
23,333480,15
23,335923,140
23,333975,30
23,345692,32
23,333852,150
23,333841,150
23,333843,75
23,334130,285
23,334615,220
23,335056,80
23,335231,37.5
23,335501,200
23,335625,54.95
23,335626,54.95
23,336074,130
23,336189,12
23,337876,40
23,336873,16.5
23,337642,25
23,337586,100
23,337530,100
23,337725,120
23,337605,7.5
23,337604,7.5
23,337981,75
23,337977,37.5
23,338090,480
23,338355,500
23,338186,50
23,338765,30
23,338771,100
23,346947,50
23,339390,52.5
23,346957,19.55
23,346961,30.45
23,340257,12
23,340253,12
23,340079,140
23,328694,256
23,328697,38.4
23,328909,640
23,329129,115.2
23,328980,13.44
23,329128,384
23,329475,64
23,329539,25
23,329476,5.12
23,329474,5.12
23,329543,6.5
23,329541,6.5
23,329889,631
23,329890,277.64
23,349201,96
23,349202,36.48
23,330270,75
23,330267,480
23,330912,1750
23,331261,128
23,331262,12.8
23,331962,96
23,331959,8.96
23,331964,8.96
23,332023,64
23,331957,96
23,331750,17.5
23,331753,52.5
23,331751,11
23,331754,33
23,332433,4.48
23,332072,768
23,333635,96
23,333637,20.48
23,333086,18
23,333084,18
23,333217,100
23,333214,100
23,333078,33.28
23,333077,128
23,333075,128
23,333872,33.12
23,333979,250
23,333980,2250
23,334863,180
23,334482,64
23,334541,142
23,334536,1.92
23,334540,1.92
23,334483,11.52
23,334714,1.92
23,334481,11.52
23,334719,1.92
23,334712,51.2
23,334717,76.8
23,335109,5.12
23,335107,5.12
23,335908,100
23,335611,480
23,335627,896
23,335613,480
23,335629,896
23,336511,192
23,336514,192
23,336882,200
23,336516,15.36
23,336513,15.36
23,336842,220
23,336843,350
23,337951,224
23,337956,392.32
23,337957,16
23,337954,16
23,338563,16
23,338589,32
23,338565,3.2
23,338562,3.2
23,338721,5.76
23,338591,7.04
23,338719,89.6
23,339384,224
23,339386,26.88
23,339606,3.5
23,339611,3.5
23,339622,10.24
23,339359,320
23,339365,64
23,340025,150
23,340027,10.5
23,339969,14.7
23,334245,-5.7
23,328991,12.5
23,329920,120
23,334800,10
23,333109,26.25
23,333106,26.25
23,335026,250
23,337482,1.64
23,338107,27
23,338130,180
23,338128,360
23,340140,97.5
23,358694,82.5
23,339402,12.5
