charge,drv_trade_client_account_execution_id,drv_trade_floor_broker_id
275,211363,23
192.5,211365,23
82.5,211367,23
275,211371,23
192.5,211373,23
82.5,211375,23
135,216254,23
94.5,216257,23
40.5,216260,23
275,216256,23
192.5,216259,23
82.5,216262,23
122.25,269658,23
165.25,269660,23
291.5,209576,23
20.67,209578,23
276,209580,23
19.32,209582,23
103.5,209626,23
20.01,209627,23
14.49,209714,23
207,209716,23
135,209726,23
135,209728,23
135,209729,23
135,209730,23
276,209749,23
1.38,209751,23
138,209753,23
141.75,209815,23
141.75,209816,23
105,232649,23
105,232650,23
70,232743,23
350,233879,23
350,233883,23
69,234204,23
13.8,234205,23
1980,265281,23
13,210068,23
175,210078,23
175,210079,23
250,210121,23
250,210123,23
690,210215,23
38.5,210235,23
38.5,210237,23
-140,210284,23
-140,210285,23
1035,210365,23
50,216205,23
262.5,216206,23
175,216207,23
75,216208,23
10,210526,23
80,210545,23
200,210571,23
5,210594,23
5,210597,23
21.5,210666,23
21.5,210668,23
125,210783,23
125,210785,23
25,210787,23
154,210799,23
26.25,210837,23
14,210871,23
18,211121,23
50,233857,23
50,233861,23
10,211130,23
140,211143,23
140,211145,23
70,211146,23
70,211147,23
7.59,211294,23
207,212226,23
828,233814,23
50,233840,23
50,233844,23
105,211645,23
190,211694,23
207,211751,23
39.33,211753,23
10,211901,23
13.5,211859,23
175,212217,23
26.25,232799,23
26.25,232801,23
50,233816,23
50,233818,23
87.5,212969,23
87.5,212971,23
138,213072,23
5.52,213073,23
42,213136,23
42,213138,23
187.5,213158,23
10,213280,23
21,213357,23
21,213358,23
52.5,212985,23
52.5,212986,23
115,213397,23
1000,213665,23
2100,213952,23
15,238920,23
78,245220,23
130,245221,23
52.5,213980,23
52.5,213982,23
35,214088,23
35,214089,23
-270,214175,23
-270,214179,23
105,214276,23
40,214391,23
40,214392,23
195,214447,23
-2.1,214569,23
540,214403,23
540,214405,23
690,214493,23
345,214509,23
345,214637,23
345,214638,23
5,232701,23
69,234444,23
69,234445,23
1200,265299,23
552,265301,23
1200,265304,23
552,265306,23
20,214665,23
20,214678,23
25,214681,23
1000,214813,23
140,214932,23
105,215064,23
138,234476,23
138,234477,23
2.76,234478,23
70,234480,23
35,215695,23
200,215707,23
-60,215848,23
80.5,215941,23
120.75,215943,23
625,215961,23
7.5,232718,23
27.6,234534,23
300,234549,23
300,234551,23
150,234552,23
150,234553,23
40,216263,23
300,216271,23
1250,216450,23
14,216617,23
345,216605,23
87.5,234588,23
132.5,234606,23
65.19,234608,23
165,234609,23
41.25,234610,23
55,234636,23
2.2,234637,23
375,216928,23
52.5,217074,23
375,217135,23
210,217159,23
210,217161,23
-60,217259,23
-60,217260,23
750,217187,23
231,217188,23
550,218411,23
122.5,237996,23
245,238000,23
69,217652,23
9.66,217654,23
637.5,217857,23
125,218012,23
125,218014,23
1750,218469,23
875,218470,23
103.25,218161,23
103.25,218162,23
100,218250,23
100,218252,23
200,218407,23
345,218413,23
17.5,232756,23
26.25,232758,23
17.5,232759,23
26.25,232761,23
1503.95,218540,23
185.5,218655,23
185.5,218656,23
11.13,218657,23
87.5,218728,23
70,218794,23
10,218796,23
47.25,218872,23
47.25,218874,23
850,218878,23
34.5,218895,23
13.11,218897,23
30,218967,23
1100,219005,23
450,219029,23
189,219031,23
250,229988,23
250,229990,23
20,232899,23
175,234730,23
110.4,219329,23
20.01,219330,23
2400,219499,23
384,219501,23
5,219504,23
750,219556,23
140,219603,23
61.25,219629,23
61.25,219631,23
900,219655,23
900,219656,23
108,219658,23
27,219659,23
12.5,219713,23
690,219260,23
690,234824,23
690,234825,23
87.5,219958,23
87.5,219959,23
-340,220008,23
627.9,220076,23
8.28,220077,23
120.75,220079,23
48.3,220080,23
8.28,220083,23
56,220132,23
48.3,220179,23
48.3,220180,23
4.14,220182,23
4.14,220185,23
4.14,220193,23
4.14,220197,23
50,220215,23
71.76,220248,23
30,220361,23
-5.28,221314,23
45,219992,23
63,220061,23
300,220401,23
300,220404,23
20,232933,23
250,220672,23
318.75,220745,23
345,220820,23
345,220821,23
50,220886,23
50,220888,23
94.5,220930,23
500,221057,23
190,221067,23
26.91,221297,23
5.52,221298,23
8.97,221300,23
262.5,221281,23
62.5,221285,23
350,221559,23
29,221750,23
29,221752,23
29,221754,23
-1.58,222070,23
-1.58,222071,23
-1.58,222072,23
-1.58,222073,23
250,226871,23
29.75,233049,23
82.95,233051,23
225,233065,23
1380,234928,23
25,234934,23
1725,235010,23
287.5,269656,23
38.5,276275,23
3.85,276277,23
38.5,276280,23
3.85,276282,23
80,212421,23
180,212465,23
138,212657,23
22.08,212658,23
4.14,234103,23
40,331162,23
