charge,drv_trade_client_account_execution_id,drv_trade_floor_broker_id
35,305894,1
70,305912,1
70,305913,1
21,306025,1
NaN,319920,1
49,306179,1
NaN,306445,1
NaN,322340,1
-0.8,322347,1
NaN,306450,1
NaN,319922,1
NaN,319923,1
NaN,319924,1
NaN,319926,1
56,306937,1
NaN,307401,1
NaN,307402,1
0.0525,307516,1
NaN,307851,1
NaN,307861,1
70,308007,1
NaN,308124,1
NaN,308157,1
NaN,308159,1
NaN,308161,1
NaN,308163,1
NaN,319928,1
154,308324,1
154,308325,1
332.5,308364,1
0.2,308456,1
1.08,308457,1
NaN,308475,1
NaN,308476,1
0.9,308477,1
35,308480,1
12.25,308481,1
21.35,308484,1
NaN,308924,1
-1.5,308931,1
NaN,308950,1
0.9,308952,1
NaN,309376,1
0.9,309378,1
NaN,309380,1
NaN,309384,1
NaN,309402,1
NaN,309404,1
21,309448,1
NaN,309847,1
NaN,309855,1
NaN,309856,1
NaN,309858,1
NaN,309859,1
NaN,309860,1
NaN,310417,1
NaN,310445,1
NaN,310947,1
NaN,310949,1
17.5,311242,1
17.5,311244,1
206.5,311387,1
NaN,311513,1
NaN,322348,1
NaN,312652,1
NaN,312668,1
-0.81,312673,1
NaN,313092,1
NaN,313097,1
NaN,313098,1
NaN,313099,1
42,314528,1
NaN,314956,1
NaN,315061,1
35,326173,1
NaN,316021,1
140,316241,1
21,314437,1
14,314481,1
