Trade Date,Exch,B/S,P/C,Qty,Class,Sym,Mo,Yr,Strike,Price,O/C,CFM,optional data,client_order_ID,Ex Brok,MM ID,CMTA,Ex Firm,Client ID,Billing ID,Account,Trader,compID,cust_ID,Product Code,Penny,parent_type,ise_mt,phlx_mt,Liquidity,Exec Rate,Exec Charge,Exch Trans Fees,OCC Clrg Fees,Total Charges,transaction_ID,modifiedTradeDate,modifiedExch,modifiedBS,modifiedPC,modifiedClass,modifiedSym,modifiedStrike,modifiedPrice,modifiedQty,modifiedOC,modifiedCFM,modifiedExBrok,modifiedTotalCharges
07/01/21,AMEX,B,P,300,DOCU,DOCU,9,2021,280.0000,22.050000,O,N,227124731,,E35J,362,010,792,oscarg,oscarg,,,,,,Y,,,,N,.100000000000000,30.0000,105.0000,.0000,135.0000,162853217,7/1/2021,amex,b,p,docu,docu,280,22.05,300,o,n,e35j,135
07/01/21,AMEX,B,P,7000,EDU,EDU,12,2021,5.5000,.450000,C,C,227134731,,E35J,,273,792,oscarg,oscarg,,,,,,,,,,C,.100000000000000,700.0000,.0000,.0000,700.0000,162871746,7/1/2021,amex,b,p,edu,edu,5.5,0.45,7000,c,c,e35j,700
07/02/21,AMEX,B,P,150,PDD,PDD,8,2021,120.0000,8.350000,C,F,227198662,,E35J,,010,792,oscarg,oscarg,,,,,,Y,,,,N,.100000000000000,15.0000,37.5000,.0000,52.5000,163157251,7/2/2021,amex,b,p,pdd,pdd,120,8.35,150,c,f,e35j,52.5
07/02/21,AMEX,B,C,500,TCOM,TCOM,9,2021,35.0000,2.450000,C,P,227211452,,E35J,,352,792,oscarg,oscarg,,,,,,,,,,N,.100000000000000,50.0000,125.0000,.0000,175.0000,163337138,7/2/2021,amex,b,c,tcom,tcom,35,2.45,500,c,p,e35j,175
07/06/21,AMEX,B,P,100,IWM,IWM,12,2022,190.0000,11.900000,C,P,227310056,,E35J,,444,792,oscarg,oscarg,,,,,etf_iwm,Y,,,,N,.100000000000000,10.0000,25.0000,.0000,35.0000,163383337,7/6/2021,amex,b,p,iwm,iwm,190,11.9,100,c,p,e35j,35
07/06/21,AMEX,B,P,100,IWM,IWM,12,2023,190.0000,17.300000,C,P,227310056,,E35J,,444,792,oscarg,oscarg,,,,,etf_iwm,Y,,,,N,.100000000000000,10.0000,25.0000,.0000,35.0000,163404805,7/6/2021,amex,b,p,iwm,iwm,190,17.3,100,c,p,e35j,35
07/06/21,AMEX,B,P,1000,KRE,KRE,1,2023,54.0000,4.650000,C,C,227332396,,E35J,,352,792,oscarg,oscarg,,,,,etf,Y,,,,C,.100000000000000,100.0000,.0000,.0000,100.0000,163457800,7/6/2021,amex,b,p,kre,kre,54,4.65,1000,c,c,e35j,100
07/06/21,AMEX,B,P,200,KRE,KRE,1,2023,54.0000,4.650000,C,C,227332396,,E35J,,551,792,oscarg,oscarg,,,,,etf,Y,,,,C,.100000000000000,20.0000,.0000,.0000,20.0000,163457691,7/6/2021,amex,b,p,kre,kre,54,4.65,200,c,c,e35j,20
07/07/21,AMEX,B,P,700,BEKE,BEKE,8,2021,40.0000,4.300000,C,P,227429337,,E35J,,444,792,oscarg,oscarg,,,,,,,,,,N,.100000000000000,70.0000,175.0000,.0000,245.0000,163739272,7/7/2021,amex,b,p,beke,beke,40,4.3,700,c,p,e35j,245
07/07/21,AMEX,B,C,300,XLE,XLE,8,2021,55.0000,1.100000,C,C,227413487,,E35J,,551,792,oscarg,oscarg,,,,,etf,Y,,,,N,.100000000000000,30.0000,.0000,.0000,30.0000,163734082,7/7/2021,amex,b,c,xle,xle,55,1.1,300,c,c,e35j,30
