drv_trade_floor_broker_id,drv_trade_client_account_execution_id,charge
23,279455,7.5
23,300604,50
23,300602,50
23,280250,30
23,280253,45
23,280601,18.5
23,281116,218.75
23,281115,218.75
23,281586,113.7
23,280893,15
23,281045,11
23,281338,140
23,284277,150
23,281744,40
23,281898,420
23,281899,210
23,282698,91
23,282699,91
23,282646,325
23,282769,841.5
23,283238,100
23,282915,150
23,282961,7
23,283373,26.25
23,283375,26.25
23,283884,70
23,285664,28
23,285682,227.5
23,285724,15
23,285631,180
23,285772,75
23,288187,176.4
23,288752,126
23,289028,52.5
23,289028,52.5
23,288832,17.5
23,288834,17.5
23,289086,2
23,289505,47.25
23,289506,47.25
23,289511,26.25
23,289513,17.5
23,289555,35
23,289468,18
23,290061,4.5
23,289990,45
23,290275,70
23,290272,70
23,290073,5
23,289996,166.25
23,290740,40
23,290518,140
23,290860,30
23,290572,52.5
23,290578,16
23,290634,2
23,290869,93.4
23,291483,175
23,291484,175
23,291354,87.5
23,291840,10
23,291864,7
23,291666,37.5
23,291905,50
23,292239,402.5
23,292759,25
23,292473,13.5
23,292449,70
23,293245,84
23,293246,84
23,293051,22.75
23,293025,105
23,279367,45
23,279632,0
23,279655,100
23,280139,50
23,280168,275
23,280178,292.5
23,280180,15
23,280060,45
23,280062,30
23,301392,200
23,301396,187.5
23,280726,200
23,281021,-300
23,281017,-300
23,281656,150
23,281318,160
23,281350,45
23,281799,17.25
23,281799,11.5
23,281935,-200
23,282485,75
23,282483,75
23,282781,-300
23,282785,-300
23,282744,337.5
23,283360,100
23,283366,62.5
23,283294,70
23,284265,24.75
23,283937,88.5
23,284183,187.5
23,283987,-920
23,283983,-460
23,284139,140
23,283943,15
23,284863,100
23,284757,20
23,285570,200
23,285625,70
23,287836,200
23,287857,-200
23,287884,400
23,288169,325
23,288699,50
23,288764,62.5
23,289690,20.25
23,289688,13.5
23,289434,70
23,289593,50
23,289220,312.5
23,289287,140
23,289364,80
23,289700,250
23,290364,180
23,299146,250
23,290166,150
23,290168,-150
23,290166,150
23,290705,-700
23,290700,-350
23,290628,125
23,291134,250
23,291100,320
23,291626,125
23,291616,125
23,293120,170
23,279801,137.5
23,279539,897
23,323856,756
23,323854,1800
23,279901,483
23,279940,759
23,279900,483
23,323845,1500
23,280868,69
23,280870,4.83
23,280875,4.83
23,280885,26.22
23,280873,69
23,280884,138
23,281554,2.07
23,281553,20.7
23,281783,0.69
23,281676,103.5
23,281678,51.75
23,281674,51.75
23,281677,109.02
23,281680,109.02
23,281781,34.5
23,282381,41.4
23,282382,15.18
23,282327,9.9
23,282474,337.15
23,282405,93.15
23,302944,181.47
23,302941,181.47
23,283063,79.35
23,282999,265
23,283001,29.15
23,283058,69
23,283596,207
23,283954,69
23,283869,110
23,283870,29.15
23,283955,7.59
23,283875,29.15
23,283872,55
23,302963,138
23,302960,20.7
23,302965,20.7
23,284740,51.75
23,302958,138
23,284554,34.5
23,285854,69
23,285857,6.21
23,285804,2.76
23,286165,2.76
23,285388,448.5
23,285389,448.5
23,285803,31.05
23,287632,200
23,288109,34.5
23,288106,34.5
23,287894,11.73
23,287891,11.73
23,287794,31.05
23,287902,25.44
23,288111,26.22
23,288115,26.22
23,287900,159
23,289796,69
23,288642,6.9
23,288646,6.9
23,289799,6.21
23,288914,397.1
23,289309,345
23,289450,275
23,289310,6.9
23,289681,17.25
23,289354,483
23,290154,103.5
23,290109,69
23,290110,24.84
23,290155,28.98
23,290153,28.98
23,290180,759
23,291012,1785
23,291015,3570
23,291010,10200
23,291016,1785
23,291322,759
23,299174,327.25
23,291686,27.5
23,292140,106
23,292142,8.48
23,292539,30.36
23,293011,122.13
23,293009,207
23,279675,15.05
23,279677,8.05
23,279675,4.3
23,279677,2.3
23,279461,40
23,281817,10
23,282719,103.25
23,282551,76.7
23,282438,17.5
23,283044,85
23,282877,70
23,282880,10
23,283547,50
23,283507,80
23,284119,35
23,283894,24.5
23,285000,350
23,285001,350
23,287762,140
23,287996,175
23,289049,145
23,289047,145
23,289291,20
23,289779,500
23,289774,250
23,291584,40
23,292832,134.05
23,293146,10
