charge,drv_trade_client_account_execution_id,drv_trade_floor_broker_id
NaN,305894,1
NaN,305912,1
NaN,305913,1
NaN,306025,1
NaN,319920,1
NaN,306179,1
NaN,306445,1
NaN,322340,1
NaN,322347,1
NaN,306450,1
NaN,319922,1
NaN,319923,1
NaN,319924,1
NaN,319926,1
NaN,306937,1
NaN,307401,1
NaN,307402,1
NaN,307516,1
NaN,307851,1
NaN,307861,1
NaN,308007,1
NaN,308124,1
NaN,308157,1
NaN,308159,1
NaN,308161,1
NaN,308163,1
NaN,319928,1
NaN,308324,1
NaN,308325,1
NaN,308364,1
NaN,308456,1
NaN,308457,1
NaN,308475,1
NaN,308476,1
NaN,308477,1
NaN,308480,1
NaN,308481,1
NaN,308484,1
NaN,308924,1
NaN,308931,1
NaN,308950,1
NaN,308952,1
NaN,309376,1
NaN,309378,1
NaN,309380,1
NaN,309384,1
NaN,309402,1
NaN,309404,1
NaN,309448,1
NaN,309847,1
NaN,309855,1
NaN,309856,1
NaN,309858,1
NaN,309859,1
NaN,309860,1
NaN,310417,1
NaN,310445,1
NaN,310947,1
NaN,310949,1
NaN,311242,1
NaN,311244,1
NaN,311387,1
NaN,311513,1
NaN,322348,1
NaN,312652,1
NaN,312668,1
NaN,312673,1
NaN,313092,1
NaN,313097,1
NaN,313098,1
NaN,313099,1
NaN,314528,1
NaN,314956,1
NaN,315061,1
NaN,326173,1
NaN,316021,1
NaN,316241,1
21,314437,1
14,314481,1
