charge,drv_trade_client_account_execution_id,drv_trade_floor_broker_id
-1.84,305657,1
35,305658,1
70,305659,1
70,305660,1
21,305661,1
24.99,305662,1
12.86,305702,1
49,305703,1
181.6,305704,1
122.19,305705,1
-0.8,305706,1
15.23,305707,1
56,305708,1
171.7,305709,1
12.91,305710,1
0.05,305711,1
5.78,305712,1
0.75,305713,1
23.72,305714,1
-35.75,305715,1
95.4,305716,1
70,305717,1
-256.15,305718,1
0.9,305719,1
1.08,305720,1
31.63,305721,1
332.5,305722,1
154,305723,1
154,305724,1
0.2,305725,1
12.25,305726,1
35,305727,1
21.35,305728,1
-1.5,305729,1
143.92,305730,1
-72.61,305731,1
0.9,305732,1
-9.83,305733,1
-19.62,305734,1
4.86,305735,1
28.61,305736,1
21,305737,1
85.7,305738,1
181.3,305739,1
8.56,305740,1
-6.82,305741,1
-39.47,305742,1
76.08,305743,1
-24.03,305744,1
-159.94,305745,1
-135.75,305746,1
33.1,305747,1
-157.93,305748,1
-96.29,305749,1
17.5,305750,1
206.5,305751,1
-107.65,305752,1
-395.07,305753,1
-0.81,305754,1
-1.61,305755,1
-4.11,305756,1
107.47,305757,1
677.52,305758,1
42,305759,1
35,305760,1
-104.92,305761,1
-25.98,305762,1
-59.14,305763,1
140,305764,1
undefined,305765,1
undefined,305766,1
undefined,305767,1
undefined,305768,1
undefined,305769,1
undefined,305770,1
undefined,305771,1
undefined,305772,1
21,314437,1
14,314481,1
