drv_trade_floor_broker_id,drv_trade_client_account_execution_id,charge
23,265612,200
23,265239,35
23,265511,100
23,266425,5
23,266484,70
23,266573,105
23,266572,105
23,266337,100
23,266083,87.5
23,266302,96.25
23,266940,20
23,267647,30
23,267940,180
23,267830,38.25
23,267737,500
23,267739,300
23,267606,10
23,267717,7.5
23,267685,20
23,268213,40
23,268383,105
23,268000,6.5
23,268081,22.5
23,268199,4.5
23,268758,50
23,268775,22.5
23,268679,4.5
23,268641,122.5
23,268782,60
23,269393,15
23,269363,225
23,269365,30
23,269468,80
23,269467,120
23,269530,193.75
23,269534,65
23,289964,3
23,269399,40
23,289954,7
23,269177,962.5
23,269849,223.3
23,269850,148.75
23,269919,75
23,269917,75
23,269856,45.5
23,269857,45.5
23,270240,200
23,270242,350
23,270197,105
23,269968,52.5
23,269966,35
23,270081,105
23,270974,50
23,270668,210
23,270900,120
23,270831,35
23,270994,56.25
23,270962,5
23,271457,17.5
23,271630,240
23,271306,105
23,271370,8.75
23,271356,35
23,272146,500
23,271884,105
23,272160,40
23,272164,70
23,272128,25
23,271988,55
23,272123,20.25
23,272152,13
23,272713,80
23,272714,80
23,272781,22.5
23,276048,192.5
23,287710,19.25
23,287711,19.25
23,274979,70
23,273129,112.5
23,274928,56.25
23,274940,140
23,275392,52.5
23,275391,52.5
23,274991,70
23,275328,250
23,275326,250
23,274972,13.1
23,275269,1680
23,276075,25
23,276156,35
23,276155,35
23,276578,200
23,276810,450
23,276809,450
23,276697,35
23,277056,157.5
23,276981,175
23,277080,87.5
23,277121,61.25
23,277685,140
23,277488,14
23,279784,300
23,277907,50
23,277902,50
23,277906,100
23,278033,15
23,278427,50
23,278353,84
23,278357,20
23,278912,40
23,278915,105
23,279035,25
23,265501,85
23,265503,37.5
23,266224,-140
23,266317,-500
23,266316,-500
23,266154,25
23,266753,115
23,266985,30
23,267060,312.5
23,267062,250
23,266975,250
23,267693,250
23,267476,-420
23,267434,375
23,267791,1875
23,268453,125
23,268098,-165
23,268104,-120
23,268096,-110
23,268102,-80
23,268447,350
23,268203,90
23,268068,120
23,268831,404.5
23,268811,500
23,268861,125
23,268835,500
23,268871,562.5
23,268873,150
23,268821,300
23,268825,1000
23,269542,70
23,269237,55
23,269095,250
23,287681,875
23,270325,500
23,269994,100
23,270948,-100
23,270810,325
23,270733,187.5
23,270674,212.5
23,270628,350
23,271294,62.5
23,271395,250
23,271425,175
23,272006,400
23,272032,350
23,272354,250
23,271978,22.5
23,271980,22.5
23,271977,45
23,334880,-240
23,275532,-1120
23,275311,200
23,275236,400
23,277284,-270
23,277426,50
23,277761,83.33333333333333
23,277764,16.666666666666668
23,278153,-100
23,277887,-200
23,278484,350
23,278708,-200
23,278536,400
23,265858,207
23,265859,3.45
23,265756,1800
23,267030,23.46
23,298513,1380
23,266811,69
23,298512,1380
23,266810,69
23,267547,138
23,267548,138
23,267853,300
23,268032,12.42
23,268957,810
23,268959,120
23,268958,1200
23,270183,3.45
23,270187,3.45
23,269961,55
23,269887,10.35
23,269960,137.5
23,271177,159
23,270632,137.5
23,298616,8.8
23,271178,7.95
23,276184,6.05
23,276182,6.05
23,298615,27.5
23,301306,552
23,270755,1138.5
23,298480,207
23,276183,13.75
23,271670,138
23,271667,138
23,271501,345
23,272210,10.35
23,272209,51.75
23,301323,1656
23,301338,345
23,301339,345
23,273048,170.8
23,275488,238.5
23,275285,138
23,275491,238.5
23,275287,8.28
23,275756,26.5
23,275761,26.5
23,275758,26.5
23,275755,26.5
23,275746,552
23,276418,53
23,276382,4.4
23,276386,4.4
23,298627,690
23,298645,15.18
23,267551,4
23,271694,20
23,265596,10
23,265578,50
23,265576,168
23,266125,35
23,266788,140
23,266827,70
23,266833,5
23,268343,16.5
23,269336,35
23,270915,26.25
23,270916,26.25
23,271093,100
23,271029,20
23,289976,70.8
23,271421,17.5
23,272675,63
23,272693,65
23,272658,90
23,289980,65
23,274954,43.75
23,275953,122.5
23,275988,44
23,275950,150
23,275948,450
23,276517,45
23,277084,45
23,277944,15
23,278149,35
23,278530,20
23,278532,15
