ise_mt,Trade Date,Exch,B/S,P/C,Qty,Class,Sym,Mo,Yr,Strike,Price,O/C,CFM,optional data,client_order_ID,Ex Brok,MM ID,CMTA,Ex Firm,Client ID,Billing ID,Account,Trader,compID,cust_ID,Product Code,Penny,parent_type,phlx_mt,Liquidity,Exec Rate,Exec Charge,Exch Trans Fees,OCC Clrg Fees,Total Charges,transaction_ID
,08/05/21,AMEX,S,C,200,SPY,SPY,8,2021,445,1.8,C,C,229284415,,E35J,,551,792,oscarg,oscarg,,,,,etf_spy,Y,,,N,0.1,20,0,0,20,168600405
,08/05/21,AMEX,S,C,200,SPY,SPY,8,2021,448,0.9,C,C,229284415,,E35J,,551,792,oscarg,oscarg,,,,,etf_spy,Y,,,N,0.1,20,0,0,20,168600511
,08/05/21,AMEX,B,P,8,WIX,WIX,9,2021,270,14.45,O,C,CO31HCQGNNV,BLPOPT_20210805-00100-00005BWIXSEP270P,B13,,792,792,2462,oscarg,OGRUBB960C-XPFS,23160696,BLPOPT,OGRUDMA,,,,,A,0.1,0.8,0,0.16,0.96,168523618
,08/05/21,AMEX,S,C,8,WIX,WIX,9,2021,290,15.25,O,C,CO31HCQGNNV,BLPOPT_20210805-00100-00005LWIXSEP290C,B13,,792,792,2462,oscarg,OGRUBB960C-XPFS,23160696,BLPOPT,OGRUDMA,,,,,A,0.1,0.8,0,0.16,0.96,168553157
,08/06/21,AMEX,S,C,3,BAC,BAC,10,2021,39,2.49,C,C,CO11HFD0CEH,BLPOPT_20210806-00039-00005LBACOCT39C,B13,,792,792,2462,oscarg,OGRUBB960C-XPFS,13566548,BLPOPT,OGRUDMA,,Y,,,A,0.1,0.3,0,0.06,0.36,168930472
,08/06/21,AMEX,S,C,2,BAC,BAC,10,2021,39,2.49,C,C,CO11HFD0CEH,BLPOPT_20210806-00039-00005LBACOCT39C,B13,,792,792,2462,oscarg,OGRUBB960C-XPFS,13566548,BLPOPT,OGRUDMA,,Y,,,A,0.1,0.2,0,0.04,0.24,168930427
,08/06/21,AMEX,B,P,3,BAC,BAC,10,2021,39,1.38,C,C,CO11HFD0CEH,BLPOPT_20210806-00039-00005BBACOCT39P,B13,,792,792,2462,oscarg,OGRUBB960C-XPFS,13566548,BLPOPT,OGRUDMA,,Y,,,A,0.1,0.3,0,0.06,0.36,168929235
,08/06/21,AMEX,B,P,2,BAC,BAC,10,2021,39,1.38,C,C,CO11HFD0CEH,BLPOPT_20210806-00039-00005BBACOCT39P,B13,,792,792,2462,oscarg,OGRUBB960C-XPFS,13566548,BLPOPT,OGRUDMA,,Y,,,A,0.1,0.2,0,0.04,0.24,168929317
,08/06/21,AMEX,S,C,5,GS,GS,9,2021,380,18.28,C,C,CO41HFCS98C,BLPOPT_20210806-00036-00005LGSSEP380C,B13,,792,792,2462,oscarg,OGRUBB960C-XPFS,13566548,BLPOPT,OGRUDMA,,Y,,,A,0.1,0.5,0,0.1,0.6,168994147
,08/06/21,AMEX,B,P,5,GS,GS,9,2021,380,9.22,C,C,CO41HFCS98C,BLPOPT_20210806-00036-00005BGSSEP380P,B13,,792,792,2462,oscarg,OGRUBB960C-XPFS,13566548,BLPOPT,OGRUDMA,,Y,,,A,0.1,0.5,0,0.1,0.6,168992945
,08/06/21,AMEX,B,P,150,IWM,IWM,12,2023,190,17.33,C,P,229403326,,E35J,,444,792,oscarg,oscarg,,,,,etf_iwm,Y,,,N,0.1,15,37.5,0,52.5,168979051
,08/06/21,AMEX,S,P,675,MA,MA,1,2022,260,2.65,C,C,229405636,,E35J,,551,792,oscarg,oscarg,,,,,,Y,,,N,0.1,67.5,0,0,67.5,168952720
,08/06/21,AMEX,S,P,75,MA,MA,1,2022,260,2.65,C,C,229405636,,E35J,,551,792,oscarg,oscarg,,,,,,Y,,,N,0.1,7.5,0,0,7.5,168933918
,08/06/21,AMEX,B,C,225,MA,MA,1,2022,350,41.85,C,C,229405636,,E35J,,551,792,oscarg,oscarg,,,,,,Y,,,N,0.1,22.5,0,0,22.5,168952182
,08/06/21,AMEX,B,C,25,MA,MA,1,2022,350,41.85,C,C,229405636,,E35J,,551,792,oscarg,oscarg,,,,,,Y,,,N,0.1,2.5,0,0,2.5,168932957
,08/09/21,AMEX,B,P,125,FDX,FDX,1,2023,250,28.9,C,C,229485189,,E35J,,352,792,oscarg,oscarg,,,,,,Y,,,N,0.1,12.5,0,0,12.5,169479769
,08/10/21,AMEX,S,P,75,AMAT,AMAT,6,2022,115,8.8,C,C,2295791710,,E35J,,608,792,oscarg,oscarg,,,,,,Y,,,N,0.1,7.5,0,0,7.5,169460332
,08/10/21,AMEX,S,C,75,AMAT,AMAT,6,2022,180,6.05,C,C,2295791710,,E35J,,608,792,oscarg,oscarg,,,,,,Y,,,N,0.1,7.5,0,0,7.5,169457770
,08/10/21,AMEX,B,P,900,CNK,CNK,3,2022,15,2.8,C,P,2295876010,,E35J,,352,792,oscarg,oscarg,,,,,,,,,C,0.1,90,0,0,90,169468862
,08/10/21,AMEX,S,P,250,IWM,IWM,9,2021,220,5.44,C,C,2295950610,,E35J,,352,792,oscarg,oscarg,,,,,etf_iwm,Y,,,N,0.1,25,0,0,25,169422688
,08/10/21,AMEX,S,C,250,IWM,IWM,9,2021,230,2.97,C,C,2295950610,,E35J,,352,792,oscarg,oscarg,,,,,etf_iwm,Y,,,N,0.1,25,0,0,25,169421025
,08/10/21,AMEX,S,C,7,MOS,MOS,8,2021,32,1.8,C,C,CO31HPMF9BP,BLPOPT_20210810-00017-00005LMOSAUG32C,B13,,792,792,2462,oscarg,OGRUBB960C-XPFS,13566548,BLPOPT,OGRUDMA,,Y,,,A,0.1,0.7,0,0.14,0.84,169497865
,08/10/21,AMEX,B,P,7,MOS,MOS,8,2021,32,0.31,C,C,CO31HPMF9BP,BLPOPT_20210810-00017-00005BMOSAUG32P,B13,,792,792,2462,oscarg,OGRUBB960C-XPFS,13566548,BLPOPT,OGRUDMA,,Y,,,A,0.1,0.7,0,0.14,0.84,169497553
,08/11/21,AMEX,B,P,225,ARKG,ARKG,9,2021,80,2.26,C,F,2296223511,,E35J,,10,792,oscarg,oscarg,,,,,,,,,N,0.1,22.5,56.25,0,78.75,169682738
,08/11/21,AMEX,B,P,500,CNK,CNK,3,2022,12.5,1.66,C,P,2296766411,,E35J,,352,792,oscarg,oscarg,,,,,,,,,C,0.1,50,0,0,50,169709526
,08/11/21,AMEX,B,P,600,MU,MU,9,2021,72.5,2.44,C,P,2296344611,,E35J,,444,792,oscarg,oscarg,,,,,,Y,,,C,0.1,60,0,0,60,169716963
,08/11/21,AMEX,S,P,375,QQQ,QQQ,1,2022,330,9.9,C,P,2296469911,,E35J,,444,792,oscarg,oscarg,,,,,etf_qqq,Y,,,N,0.1,37.5,93.75,0,131.25,169681982
,08/11/21,AMEX,B,C,375,QQQ,QQQ,1,2022,400,5.31,C,P,2296469911,,E35J,,444,792,oscarg,oscarg,,,,,etf_qqq,Y,,,N,0.1,37.5,93.75,0,131.25,169651278
,08/11/21,AMEX,B,P,250,QQQ,QQQ,12,2023,310,27.85,C,B,2296569811,,E35J,,284,792,oscarg,oscarg,,,,,etf_qqq,Y,,,N,0.1,25,62.5,0,87.5,169611394
,08/11/21,AMEX,B,P,50,ROKU,ROKU,1,2022,340,38.35,O,N,2296770711,,E35J,362,10,792,oscarg,oscarg,,,,,,Y,,,N,0.1,5,12.5,0,17.5,169713005
,08/12/21,AMEX,B,P,200,AMD,AMD,6,2022,80,5.18,C,P,2297887212,,E35J,,444,792,oscarg,oscarg,,,,,,Y,,,N,0.1,20,50,0,70,169954232
,08/12/21,AMEX,B,P,200,AMD,AMD,6,2022,80,5.17,C,P,2297887412,,E35J,,444,792,oscarg,oscarg,,,,,,Y,,,N,0.1,20,50,0,70,169936654
,08/12/21,AMEX,S,P,200,IWM,IWM,8,2021,219,1.13,O,P,2297741512,,E35J,,444,792,oscarg,oscarg,,,,,etf_iwm,Y,,,N,0.1,20,50,0,70,169932899
,08/12/21,AMEX,S,C,200,IWM,IWM,8,2021,231,0.33,O,P,2297741512,,E35J,,444,792,oscarg,oscarg,,,,,etf_iwm,Y,,,N,0.1,20,50,0,70,169932989
,08/12/21,AMEX,B,P,300,MU,MU,9,2021,70,2.92,C,P,2297169712,,E35J,,444,792,oscarg,oscarg,,,,,,Y,,,C,0.1,30,0,0,30,169818603
,08/12/21,AMEX,B,P,150,MU,MU,10,2021,67.5,3.55,O,N,2297523612,,E35J,362,10,792,oscarg,oscarg,,,,,,Y,,,C,0.1,15,30,0,45,169915206
,08/12/21,AMEX,S,C,350,MU,MU,1,2022,85,2.3,C,P,2297251312,,E35J,,444,792,oscarg,oscarg,,,,,,Y,,,N,0.1,35,87.5,0,122.5,169883652
,08/12/21,AMEX,B,P,700,MU,MU,3,2022,60,4,C,P,2297251312,,E35J,,444,792,oscarg,oscarg,,,,,,Y,,,N,0.1,70,175,0,245,169886377
,08/12/21,AMEX,S,P,500,QQQ,QQQ,6,2022,374,32.19,C,C,2297990212,,E35J,,352,792,oscarg,oscarg,,,,,etf_qqq,Y,,,N,0.1,50,0,0,50,169879181
,08/12/21,AMEX,S,C,500,QQQ,QQQ,6,2022,382,21.41,C,C,2297990212,,E35J,,352,792,oscarg,oscarg,,,,,etf_qqq,Y,,,N,0.1,50,0,0,50,169932802
,08/12/21,AMEX,B,P,50,QQQ,QQQ,12,2023,295,22.75,C,B,2297990012,,E35J,,284,792,oscarg,oscarg,,,,,etf_qqq,Y,,,N,0.1,5,12.5,0,17.5,169809135
,08/13/21,AMEX,S,C,1,CVS,CVS,8,2021,83,1.98,C,C,CO41I1DMJ01,BLPOPT_20210813-00069-00001LCVSAUG83C,B13,,792,792,2462,oscarg,OGRUBB960C-XPFS,13566548,BLPOPT,OGRUDMA,,Y,,,A,0.1,0.1,0,0.02,0.12,170110867
,08/13/21,AMEX,S,C,1,CVS,CVS,8,2021,83,1.98,C,C,CO41I1DMJ01,BLPOPT_20210813-00069-00001LCVSAUG83C,B13,,792,792,2462,oscarg,OGRUBB960C-XPFS,13566548,BLPOPT,OGRUDMA,,Y,,,A,0.1,0.1,0,0.02,0.12,170110979
,08/13/21,AMEX,B,P,1,CVS,CVS,8,2021,83,0.34,C,C,CO41I1DMJ01,BLPOPT_20210813-00069-00001BCVSAUG83P,B13,,792,792,2462,oscarg,OGRUBB960C-XPFS,13566548,BLPOPT,OGRUDMA,,Y,,,A,0.1,0.1,0,0.02,0.12,170109867
,08/13/21,AMEX,B,P,1,CVS,CVS,8,2021,83,0.34,C,C,CO41I1DMJ01,BLPOPT_20210813-00069-00001BCVSAUG83P,B13,,792,792,2462,oscarg,OGRUBB960C-XPFS,13566548,BLPOPT,OGRUDMA,,Y,,,A,0.1,0.1,0,0.02,0.12,170109919
,08/13/21,AMEX,S,C,4,CVS,CVS,8,2021,85,0.72,C,C,CO31I1DMASK,BLPOPT_20210813-00072-00001LCVSAUG85C,B13,,792,792,2462,oscarg,OGRUBB960C-XPFS,13566548,BLPOPT,OGRUDMA,,Y,,,A,0.1,0.4,0,0.08,0.48,170110301
,08/13/21,AMEX,S,C,1,CVS,CVS,8,2021,85,0.72,C,C,CO31I1DMASK,BLPOPT_20210813-00072-00001LCVSAUG85C,B13,,792,792,2462,oscarg,OGRUBB960C-XPFS,13566548,BLPOPT,OGRUDMA,,Y,,,A,0.1,0.1,0,0.02,0.12,170110353
,08/13/21,AMEX,B,P,4,CVS,CVS,8,2021,85,1.06,C,C,CO31I1DMASK,BLPOPT_20210813-00072-00001BCVSAUG85P,B13,,792,792,2462,oscarg,OGRUBB960C-XPFS,13566548,BLPOPT,OGRUDMA,,Y,,,A,0.1,0.4,0,0.08,0.48,170109564
,08/13/21,AMEX,B,P,1,CVS,CVS,8,2021,85,1.06,C,C,CO31I1DMASK,BLPOPT_20210813-00072-00001BCVSAUG85P,B13,,792,792,2462,oscarg,OGRUBB960C-XPFS,13566548,BLPOPT,OGRUDMA,,Y,,,A,0.1,0.1,0,0.02,0.12,170109384
,08/13/21,AMEX,S,C,250,QQQ,QQQ,6,2022,368,29.05,C,C,2298658813,,E35J,,551,792,oscarg,oscarg,,,,,etf_qqq,Y,,,N,0.1,25,0,0,25,170160419
,08/13/21,AMEX,S,C,250,QQQ,QQQ,6,2022,368,29.05,C,C,2298658813,,E35J,,551,792,oscarg,oscarg,,,,,etf_qqq,Y,,,N,0.1,25,0,0,25,170167570
,08/13/21,AMEX,S,C,250,QQQ,QQQ,6,2022,368,29.05,C,C,2298658813,,E35J,,551,792,oscarg,oscarg,,,,,etf_qqq,Y,,,N,0.1,25,0,0,25,170167578
,08/13/21,AMEX,S,C,250,QQQ,QQQ,6,2022,368,29.05,C,C,2298777513,,E35J,,551,792,oscarg,oscarg,,,,,etf_qqq,Y,,,N,0.1,25,0,0,25,170176077
,08/13/21,AMEX,S,P,250,QQQ,QQQ,6,2022,368,29.1,C,C,2298658813,,E35J,,551,792,oscarg,oscarg,,,,,etf_qqq,Y,,,N,0.1,25,0,0,25,170160427
,08/13/21,AMEX,S,P,250,QQQ,QQQ,6,2022,368,29.1,C,C,2298658813,,E35J,,551,792,oscarg,oscarg,,,,,etf_qqq,Y,,,N,0.1,25,0,0,25,170168137
,08/13/21,AMEX,S,P,250,QQQ,QQQ,6,2022,368,29.1,C,C,2298658813,,E35J,,551,792,oscarg,oscarg,,,,,etf_qqq,Y,,,N,0.1,25,0,0,25,170168198
,08/13/21,AMEX,S,P,250,QQQ,QQQ,6,2022,368,29.1,C,C,2298777513,,E35J,,551,792,oscarg,oscarg,,,,,etf_qqq,Y,,,N,0.1,25,0,0,25,170176090
,08/13/21,AMEX,B,P,400,QQQ,QQQ,12,2023,305,25.25,C,B,2298856013,,E35J,,284,792,oscarg,oscarg,,,,,etf_qqq,Y,,,N,0.1,40,100,0,140,170053815
,08/13/21,AMEX,S,C,500,SPY,SPY,8,2021,443,3.69,C,C,2298303113,,E35J,,273,792,oscarg,oscarg,,,,,etf_spy,Y,,,N,0.1,50,0,0,50,170114528
,08/13/21,AMEX,B,C,500,SPY,SPY,8,2021,445,2.24,C,C,2298303113,,E35J,,273,792,oscarg,oscarg,,,,,etf_spy,Y,,,N,0.1,50,0,0,50,170116102
,08/13/21,AMEX,B,C,500,SPY,SPY,8,2021,448,0.8,C,C,2298303113,,E35J,,273,792,oscarg,oscarg,,,,,etf_spy,Y,,,N,0.1,50,0,0,50,170128632
,08/13/21,AMEX,S,C,520,TCOM,TCOM,9,2021,35,0.08,C,P,2298236613,,E35J,,352,792,oscarg,oscarg,,,,,,,,,N,0.1,52,130,0,182,170088109
,08/16/21,AMEX,B,P,850,IWM,IWM,6,2022,185,7.75,C,P,2299638016,,E35J,,444,792,oscarg,oscarg,,,,,etf_iwm,Y,,,N,0.1,85,212.5,0,297.5,170407324
,08/16/21,AMEX,B,P,200,IWM,IWM,6,2022,185,7.75,C,P,2299638016,,E35J,,444,792,oscarg,oscarg,,,,,etf_iwm,Y,,,N,0.1,20,50,0,70,170407395
,08/16/21,AMEX,B,P,850,IWM,IWM,12,2023,185,16.25,C,P,2299638016,,E35J,,444,792,oscarg,oscarg,,,,,etf_iwm,Y,,,N,0.1,85,212.5,0,297.5,170407392
,08/16/21,AMEX,B,P,200,IWM,IWM,12,2023,185,16.25,C,P,2299638016,,E35J,,444,792,oscarg,oscarg,,,,,etf_iwm,Y,,,N,0.1,20,50,0,70,170407401
,08/16/21,AMEX,S,P,750,PLUG,PLUG,3,2022,17.5,1.46,C,F,2299423216,,E35J,,10,792,oscarg,oscarg,,,,,,Y,,,C,0.1,75,150,0,225,170390381
,08/16/21,AMEX,B,P,750,PLUG,PLUG,3,2022,22.5,3.34,C,F,2299423216,,E35J,,10,792,oscarg,oscarg,,,,,,Y,,,C,0.1,75,150,0,225,170392741
,08/16/21,AMEX,S,P,300,PYPL,PYPL,8,2021,270,0.75,C,P,2299357816,,E35J,,444,792,oscarg,oscarg,,,,,,Y,,,N,0.1,30,75,0,105,170350648
,08/16/21,AMEX,B,P,300,PYPL,PYPL,11,2021,270,12.65,C,P,2299357816,,E35J,,444,792,oscarg,oscarg,,,,,,Y,,,N,0.1,30,75,0,105,170349988
,08/16/21,AMEX,S,C,200,SPY,SPY,8,2021,443,2.81,C,C,2299323316,,E35J,,551,792,oscarg,oscarg,,,,,etf_spy,Y,,,N,0.1,20,0,0,20,170331372
,08/16/21,AMEX,B,C,200,SPY,SPY,8,2021,445,1.54,C,C,2299323316,,E35J,,551,792,oscarg,oscarg,,,,,etf_spy,Y,,,N,0.1,20,0,0,20,170330982
,08/16/21,AMEX,B,C,200,SPY,SPY,8,2021,448,0.44,C,C,2299323316,,E35J,,551,792,oscarg,oscarg,,,,,etf_spy,Y,,,N,0.1,20,0,0,20,170330931
,08/17/21,AMEX,B,P,250,ABNB,ABNB,10,2021,145,8.3,C,C,2299875617,,E35J,,273,792,oscarg,oscarg,,,,,,Y,,,N,0.1,25,0,0,25,170602944
