drv_trade_floor_broker_id,drv_trade_client_account_execution_id,charge
23,undefined,0.69
23,undefined,7.5
23,undefined,50
23,undefined,50
23,undefined,30
23,undefined,45
23,undefined,18.5
23,undefined,218.75
23,undefined,218.75
23,undefined,113.7
23,undefined,15
23,undefined,11
23,undefined,140
23,undefined,71.9
23,undefined,55
23,undefined,53.1
23,undefined,150
23,undefined,40
23,undefined,420
23,undefined,210
23,undefined,91
23,undefined,91
23,undefined,325
23,undefined,841.5
23,undefined,100
23,undefined,150
23,undefined,7
23,undefined,26.25
23,undefined,26.25
23,undefined,70
23,undefined,28
23,undefined,227.5
23,undefined,15
23,undefined,0.12
23,undefined,0.12
23,undefined,0.12
23,undefined,0.12
23,undefined,5
23,undefined,5
23,undefined,5
23,undefined,5
23,undefined,5
23,undefined,5
23,undefined,5
23,undefined,2.5
23,undefined,5
23,undefined,6.4
23,undefined,180
23,undefined,75
23,undefined,176.4
23,undefined,126
23,undefined,52.5
23,undefined,52.5
23,undefined,17.5
23,undefined,17.5
23,undefined,2
23,undefined,47.25
23,undefined,47.25
23,undefined,26.25
23,undefined,17.5
23,undefined,35
23,undefined,18
23,undefined,4.5
23,undefined,45
23,undefined,70
23,undefined,70
23,undefined,5
23,undefined,166.25
23,undefined,40
23,undefined,140
23,undefined,30
23,undefined,52.5
23,undefined,16
23,undefined,2
23,undefined,23.3
23,undefined,46.7
23,undefined,93.3
23,undefined,0.1
23,undefined,175
23,undefined,175
23,undefined,43.75
23,undefined,43.75
23,undefined,10
23,undefined,7
23,undefined,37.5
23,undefined,50
23,undefined,126.7
23,undefined,127.05
23,undefined,402.5
23,undefined,25
23,undefined,13.5
23,undefined,70
23,undefined,84
23,undefined,84
23,undefined,22.75
23,undefined,105
23,undefined,72
23,undefined,66
23,undefined,18
23,undefined,45
23,undefined,-1.2
23,undefined,-0.1
23,undefined,312.5
23,undefined,312.5
23,undefined,350
23,undefined,250
23,undefined,-50
23,undefined,50
23,undefined,100
23,undefined,50
23,undefined,275
23,undefined,292.5
23,undefined,15
23,undefined,45
23,undefined,30
23,undefined,200
23,undefined,187.5
23,undefined,200
23,undefined,15
23,undefined,5
23,undefined,-300
23,undefined,-300
23,undefined,150
23,undefined,160
23,undefined,45
23,undefined,17.25
23,undefined,11.5
23,undefined,-200
23,undefined,75
23,undefined,75
23,undefined,-300
23,undefined,-300
23,undefined,337.5
23,undefined,100
23,undefined,62.5
23,undefined,70
23,undefined,22.2
23,undefined,2.55
23,undefined,44.25
23,undefined,44.25
23,undefined,187.5
23,undefined,-920
23,undefined,-460
23,undefined,140
23,undefined,15
23,undefined,100
23,undefined,20
23,undefined,200
23,undefined,42
23,undefined,28
23,undefined,200
23,undefined,-200
23,undefined,-200
23,undefined,-200
23,undefined,400
23,undefined,325
23,undefined,50
23,undefined,62.5
23,undefined,20.25
23,undefined,13.5
23,undefined,70
23,undefined,50
23,undefined,312.5
23,undefined,140
23,undefined,80
23,undefined,250
23,undefined,180
23,undefined,250
23,undefined,100
23,undefined,-75
23,undefined,75
23,undefined,-100
23,undefined,150
23,undefined,-150
23,undefined,150
23,undefined,-700
23,undefined,-350
23,undefined,125
23,undefined,250
23,undefined,320
23,undefined,125
23,undefined,125
23,undefined,170
23,undefined,14.31
23,undefined,11.66
23,undefined,11.13
23,undefined,3.71
23,undefined,47.7
23,undefined,18.55
23,undefined,66.25
23,undefined,31.27
23,undefined,16.96
23,undefined,5.83
23,undefined,3.71
23,undefined,31.8
23,undefined,16.96
23,undefined,12.19
23,undefined,5.3
23,undefined,21.73
23,undefined,3.18
23,undefined,2.12
23,undefined,0.53
23,undefined,82.5
23,undefined,55
23,undefined,82.5
23,undefined,55
23,undefined,345
23,undefined,345
23,undefined,207
23,undefined,82.5
23,undefined,55
23,undefined,82.5
23,undefined,55
23,undefined,630
23,undefined,126
23,undefined,630
23,undefined,126
23,undefined,1500
23,undefined,300
23,undefined,345
23,undefined,138
23,undefined,345
23,undefined,138
23,undefined,138
23,undefined,69
23,undefined,69
23,undefined,345
23,undefined,138
23,undefined,15
23,undefined,90
23,undefined,105
23,undefined,105
23,undefined,63
23,undefined,42
23,undefined,45
23,undefined,60
23,undefined,105
23,undefined,105
23,undefined,105
23,undefined,63
23,undefined,42
23,undefined,105
23,undefined,300
23,undefined,300
23,undefined,300
23,undefined,180
23,undefined,120
23,undefined,300
23,undefined,69
23,undefined,4.83
23,undefined,4.83
23,undefined,9.66
23,undefined,3.45
23,undefined,13.11
23,undefined,9.66
23,undefined,3.45
23,undefined,13.11
23,undefined,69
23,undefined,51.75
23,undefined,17.25
23,undefined,69
23,undefined,1.08
23,undefined,0.84
23,undefined,0.6
23,undefined,0.48
23,undefined,0.6
23,undefined,0.48
23,undefined,0.48
23,undefined,0.48
23,undefined,0.36
23,undefined,1.08
23,undefined,0.84
23,undefined,0.6
23,undefined,0.48
23,undefined,0.6
23,undefined,0.48
23,undefined,0.48
23,undefined,0.48
23,undefined,0.36
23,undefined,2.07
23,undefined,20.7
23,undefined,0.69
23,undefined,103.5
23,undefined,51.75
23,undefined,51.75
23,undefined,109.02
23,undefined,109.02
23,undefined,207
23,undefined,138
23,undefined,69
23,undefined,69
23,undefined,69
23,undefined,69
23,undefined,69
23,undefined,86.25
23,undefined,86.25
23,undefined,34.5
23,undefined,212
23,undefined,106
23,undefined,74.2
23,undefined,68.9
23,undefined,68.9
23,undefined,106
23,undefined,53
23,undefined,37.1
23,undefined,34.45
23,undefined,34.45
23,undefined,10.35
23,undefined,10.35
23,undefined,10.35
23,undefined,10.35
23,undefined,69
