ise_mt,Trade Date,Exch,B/S,P/C,Qty,Class,Sym,Mo,Yr,Strike,Price,O/C,CFM,optional data,Client Order ID,Ex Brok,MM ID,CMTA,Ex Firm,Client ID,Billing ID,Account,Trader,CompID,Cust ID,Product Code,Penny,Parent Type,phlx_mt,Liquidity,Exec Rate,Exec Charge,Exch Trans Fees,OCC Clrg Fees,Total Charges,transaction_ID
,01/04/21,CBOE,S,P,300,SPX,SPX,2,2021,2875,9.76,C,P,6214000MC,,BMLS,,444,792,oscarg,oscarg,,,,,index_spx,,,,A,0.1,30,177,0,207,130072825
,01/04/21,CBOE,B,P,800,SPX,SPX,3,2021,2800,12.61,C,B,62140006I,,XCHG,,284,792,oscarg,oscarg,,,,,index_spx,,,,R,0.1,80,472,0,552,130080345
,01/04/21,CBOE,S,C,2,SPX,SPX,3,2021,3655,155,C,P,6214000MC,,BMLS,,444,792,oscarg,oscarg,,,,,index_spx,,,,A,0.1,0.2,1.18,0,1.38,130070620
,01/04/21,CBOE,S,P,29,SPX,SPX,3,2021,3730,144.5,C,P,621400084,,XCHG,,444,792,oscarg,oscarg,,,,,index_spx,,,,A,0.1,2.9,17.11,0,20.01,130125778
,01/04/21,CBOE,B,P,28,SPX,SPX,3,2021,3735,137,C,B,62140006I,,XCHG,,284,792,oscarg,oscarg,,,,,index_spx,,,,R,0.1,2.8,16.52,0,19.32,130080294
,01/04/21,CBOE,B,P,3300,VIX,VIX,2,2021,20,0.68,C,P,62140000000000,,BMLS,,444,792,oscarg,oscarg,,,,,index_vix,,,,A,0.1,330,1650,0,1980,130107596
,01/04/21,CBOE,B,C,1386,VIX,VIX,2,2021,27,4.1,C,P,62140000000000,,BMLS,,444,792,oscarg,oscarg,,,,,index_vix,,,,A,0.1,138.6,693,0,831.6,130107638
,01/04/21,CBOE,S,P,1386,VIX,VIX,2,2021,27,4.3,C,P,62140000000000,,BMLS,,444,792,oscarg,oscarg,,,,,index_vix,,,,A,0.1,138.6,693,0,831.6,130108117
,01/05/21,BATS,B,P,11,XLF,XLF,3,2021,28,0.84,O,C,CO310B1MAA6,BLPOPT_20210105-00163-00005,BMLS,,792,792,2462,oscarg,OGRUBB960C-XPFS,23160696,BLPOPT,OGRUDMA,etf,Y,SR,,R,0.1,1.1,5.5,0.5,7.1,130404151
,01/05/21,BOSTON,B,P,1000,CMCSA,CMCSA,6,2022,50,7.15,C,C,BOXNYC3458,,938,,551,792,oscarg,oscarg,,,,,,Y,,,R,0.1,100,(200.00),0,(100.00),130379596
,01/05/21,BOSTON,S,P,1000,CMCSA,CMCSA,6,2022,50,7.15,C,P,BOXNYC3459,,938,,352,792,oscarg,oscarg,,,,,,Y,,,A,0.1,100,150,0,250,130380154
,01/05/21,NYSE/ARCA,B,P,8,XLF,XLF,3,2021,28,0.84,O,C,CO410B1M9U6,BLPOPT_20210105-00168-00033,B27,,792,792,2462,oscarg,OGRUBB960C-XPFS,23160696,BLPOPT,OGRUDMA,etf,Y,SR,,A,0.1,0.8,(2.00),0.36,(0.84),130326862
,01/05/21,PEARL,B,P,12,XLF,XLF,3,2021,28,0.84,O,C,CO310B1MAA6,BLPOPT_20210105-00163-00005,25BD,,792,792,2462,oscarg,OGRUBB960C-XPFS,23160696,BLPOPT,OGRUDMA,etf,Y,SR,,R,0.1,1.2,6,0.54,7.74,130404139
,01/06/21,AMEX,S,P,50,PEP,PEP,3,2021,120,0.8,C,C,214631236,,E35J,,111,792,oscarg,oscarg,,,,,,Y,,,N,0.1,5,0,0,5,130699635
,01/06/21,CBOE,B,P,100,RUT,RUT,6,2021,1400,18.59,C,B,52160006Z,,BMLS,,284,792,oscarg,oscarg,,,,,index_rut,,,,R,0.1,10,70,0,80,130590772
,01/07/21,CBOE,S,P,200,SPX,SPXW,2,2021,3250,16.7,C,P,62170000000,,XCHG,,444,792,oscarg,oscarg,,,,,index_spx,,,,A,0.1,20,118,0,138,130969430
,01/12/21,AMEX,S,P,150,TSLA,TSLA,6,2022,400,56.1,C,C,2150578712,,E35J,,608,792,oscarg,oscarg,,,,,,Y,,,N,0.1,15,0,0,15,131644443
,01/12/21,ISE,S,P,193,AAPL,AAPL,9,2022,95,9.3,C,C,210112TMAS.2863,,TMAS,,608,792,oscarg,oscarg,,,,,,Y,,,41,0.1,19.3,0,0,19.3,131713553
,01/12/21,NASDAQ,B,C,30,PRGO,PRGO,2,2021,47.5,1.2,O,C,CO310T2E2KE,BLPOPT_20210112-00032-00001,BAMB,,792,792,2462,oscarg,OGRUBB960C-XPFS,23160696,BLPOPT,OGRUDMA,,,SR,,A,0.1,3,(27.00),1.35,(22.65),131672408
,01/13/21,PHLX,S,P,900,TSM,TSM,4,2021,70,0.25,C,P,,,636,,444,792,oscarg,oscarg,,,,,,Y,,,N,0.1,90,225,0,315,131922812
,01/14/21,AMEX,S,C,800,VZ,VZ,1,2022,70,0.73,C,P,2153287214,,E35J,,444,792,oscarg,oscarg,,,,,,Y,,,N,0.1,80,200,0,280,132377668
,01/14/21,ISE,S,P,300,QQQ,QQQ,2,2021,285,2.48,C,C,210114TMAS.14,,TMAS,,50,792,oscarg,oscarg,,,,,etf_qqq,Y,,,12,0.1,30,0,0,30,132387665
,01/14/21,NASDAQ,S,C,36,ABNB,ABNB,2,2021,230,8.9,O,C,CO4112788T3,BLPOPT_20210114-00087-00001,BAMB,,792,792,2462,oscarg,OGRUBB960C-XPFS,13566548,BLPOPT,OGRUDMA,,,SR,,A,0.1,3.6,(32.40),1.62,(27.18),132247485
,01/14/21,NYSE/ARCA,S,C,2400,EEM,EEM,1,2021,55,0.52,C,C,2153045814,,A60R,,608,792,oscarg,oscarg,,,,,etf,Y,,,N,0.1,240,0,0,240,132387835
,01/14/21,NYSE/ARCA,B,C,2400,EEM,EEM,1,2021,55,0.87,C,C,2153045814,,A60R,,608,792,oscarg,oscarg,,,,,etf,Y,,,N,0.1,240,0,0,240,132387815
,01/15/21,AMEX,S,P,3750,HYG,HYG,2,2021,85,0.4,C,P,2154350315,,E35J,,444,792,oscarg,oscarg,,,,,etf,Y,,,C,0.1,375,0,0,375,132589559
,01/15/21,BOSTON,S,P,300,CSCO,CSCO,1,2021,45,0.02,C,P,BOXNYC17191,,938,,444,792,oscarg,oscarg,,,,,,Y,,,A,0.1,30,(90.00),0,(60.00),132587882
,01/15/21,CBOE,B,P,200,VIX,VIX,1,2021,21,0.11,C,C,6211500046,,BMLS,,586,792,oscarg,oscarg,,,,,index_vix,,,,A,0.1,20,34,0,54,132687037
,01/15/21,CBOE,B,P,200,VIX,VIX,1,2021,22,0.34,C,C,6211500046,,BMLS,,586,792,oscarg,oscarg,,,,,index_vix,,,,A,0.1,20,34,0,54,132687243
,01/15/21,CBOE,B,P,200,VIX,VIX,1,2021,23,0.74,C,C,~W6M1RS48OXD1,,BMLS,,586,792,oscarg,oscarg,,,,,index_vix,,,,R,0.1,20,50,0,70,132903659
,01/15/21,PHLX,B,C,425,APO,APO,6,2021,50,2.9,C,C,,,636,,111,792,oscarg,oscarg,,,,,,,,,N,0.1,42.5,0,0,42.5,132590757
,01/15/21,PHLX,S,C,425,APO,APO,1,2022,50,4.9,C,C,,,636,,111,792,oscarg,oscarg,,,,,,,,,N,0.1,42.5,0,0,42.5,132590741
,01/15/21,PHLX,B,C,75,APO,APO,1,2022,50,4.9,C,C,,,636,,111,792,oscarg,oscarg,,,,,,,,,N,0.1,7.5,0,0,7.5,132939855
,01/15/21,PHLX,B,P,150,KSS,KSS,1,2022,40,8.05,O,C,,,210,,273,792,oscarg,oscarg,,,,,,Y,,,N,0.1,15,0,0,15,132658475
,01/15/21,PHLX,B,P,130,PINS,PINS,1,2023,50,12.55,C,J,,,636,,10,792,oscarg,oscarg,,,,,,Y,,,N,0.1,13,32.5,0,45.5,132737442
,01/19/21,AMEX,S,C,500,DD,DD,2,2021,105,0.19,C,C,2155914319,,E35J,,5,792,oscarg,oscarg,,,,,,Y,,,N,0.1,50,0,0,50,133002777
,01/19/21,AMEX,B,P,500,DD,DD,2,2021,105,21.39,C,C,2155914319,,E35J,,5,792,oscarg,oscarg,,,,,,Y,,,N,0.1,50,0,0,50,133002154
,01/19/21,AMEX,B,C,4,SKX,SKX,2,2021,43,1,O,C,CO411F376CH,BLPOPT_20210119-00045-00001,B13,,792,792,2462,oscarg,OGRUBB960C-XPFS,23160696,BLPOPT,OGRUDMA,,,SR,,R,0.1,0.4,0,0.18,0.58,132902313
,01/19/21,MIAX,B,C,4,SKX,SKX,2,2021,43,1,O,C,CO411F376CH,BLPOPT_20210119-00045-00001,BOD5,,792,792,2462,oscarg,OGRUBB960C-XPFS,23160696,BLPOPT,OGRUDMA,,,SR,,R,0.1,0.4,0,0.18,0.58,133061958
,01/19/21,NASDAQ,B,C,16,SKX,SKX,2,2021,43,1,O,C,CO411F376CH,BLPOPT_20210119-00045-00001,BAMB,,792,792,2462,oscarg,OGRUBB960C-XPFS,23160696,BLPOPT,OGRUDMA,,,SR,,R,0.1,1.6,13.6,0.72,15.92,133062180
,01/19/21,PHLX,B,C,13,SKX,SKX,2,2021,43,1,O,C,CO411F376CH,BLPOPT_20210119-00045-00001,792,,792,792,2462,oscarg,OGRUBB960C-XPFS,23160696,BLPOPT,OGRUDMA,,,SR,,R,0.1,1.3,0,0.59,1.89,133062063
,01/20/21,AMEX,S,C,5000,NVDA,NVDA,2,2021,530,24.56,C,B,2156583720,,E35J,,284,792,oscarg,oscarg,,,,,,Y,,,C,0.1,500,1000,0,1500,133213366
,01/20/21,AMEX,B,P,5000,NVDA,NVDA,2,2021,530,22.16,C,B,2156583720,,E35J,,284,792,oscarg,oscarg,,,,,,Y,,,C,0.1,500,1000,0,1500,133210689
,01/20/21,AMEX,B,P,12,PRVL,PRVL,4,2021,22.5,0.1,O,C,336280819,,E35C,,551,792,oscarg,oscarg,,,,,,,,,R,0.1,1.2,0,0,1.2,133252857
,01/20/21,BATS,B,C,2,LAZR,LAZR,5,2021,30,9.2,O,C,BATSOPTNYB595067,,BMLS,,284,792,oscarg,oscarg,,,,,,,,,R,0.1,0.2,1.7,0,1.9,133284740
,01/20/21,EMLD,B,C,1,LAZR,LAZR,5,2021,30,9.9,O,C,EMLDB391402,,5MA2,,284,792,oscarg,oscarg,,,,,,,,,R,0.1,0.1,0.85,0,0.95,133284198
,01/20/21,NASDAQ,B,P,25,PRVL,PRVL,4,2021,22.5,0.1,O,C,NOMNYB280821,,MTRX,,551,792,oscarg,oscarg,,,,,,,,,R,0.1,2.5,21.25,0,23.75,133287683
,01/20/21,NYSE/ARCA,B,C,1,LAZR,LAZR,5,2021,30,10.1,O,C,220465486,,A60J,,284,792,oscarg,oscarg,,,,,,,,,R,0.1,0.1,0.85,0,0.95,133284675
,01/20/21,PHLX,S,C,15,MELI,MELI,2,2021,2200,29.9,O,C,CO311HLJLQA,BLPOPT_20210120-00004-00001,792,,792,792,2462,oscarg,OGRUBB960C-XPFS,23160696,BLPOPT,OGRUDMA,,,SR,,A,0.1,1.5,0,0.68,2.18,133252488
,01/21/21,AMEX,S,P,5000,TLT,TLT,3,2021,145,1.2,C,P,2157456121,,E35J,,444,792,oscarg,oscarg,,,,,etf,Y,,,N,0.1,500,1250,0,1750,133572879
,01/21/21,AMEX,S,P,2500,TLT,TLT,6,2021,150,5.9,C,P,2157456121,,E35J,,444,792,oscarg,oscarg,,,,,etf,Y,,,N,0.1,250,625,0,875,133624334
,01/21/21,CBOE,S,P,50,SPX,SPXW,2,2021,3625,21.9,C,P,52121000NM,,XCHG,,444,792,oscarg,oscarg,,,,,index_spx,,,,A,0.1,5,29.5,0,34.5,133579930
,01/21/21,CBOE,S,C,50,SPX,SPXW,2,2021,4000,11,C,P,52121000NM,,XCHG,,444,792,oscarg,oscarg,,,,,index_spx,,,,A,0.1,5,29.5,0,34.5,133580231
,01/21/21,NASDAQ,B,C,30,PRGO,PRGO,2,2021,47.5,0.4,O,C,CO111K80G18,BLPOPT_20210121-00052-00001,BAMB,,792,792,2462,oscarg,OGRUBB960C-XPFS,15110167,BLPOPT,OGRUDMA,,,SR,,A,0.1,3,(27.00),1.35,(22.65),133523773
,01/22/21,CBOE,B,P,100,SPX,SPXW,2,2021,3690,27.3,C,P,62122000DR,,XCHG,,444,792,oscarg,oscarg,,,,,index_spx,,,,A,0.1,10,59,0,69,133800625
,01/22/21,CBOE,S,P,50,SPX,SPXW,2,2021,3825,57,C,P,62122000DR,,XCHG,,444,792,oscarg,oscarg,,,,,index_spx,,,,A,0.1,5,29.5,0,34.5,133952861
,01/25/21,BATS,B,P,26,XLF,XLF,3,2021,29,0.78,O,C,CO111UHJET4,BLPOPT_20210125-00029-00066,BMLS,,792,792,2462,oscarg,OGRUBB960C-XPFS,23160696,BLPOPT,OGRUDMA,etf,Y,SR,,R,0.1,2.6,13,1.17,16.77,134099423
,01/25/21,CBOE,B,C,5,PRGO,PRGO,2,2021,47.5,0.35,O,C,CO211UHJIOQ,BLPOPT_20210125-00059-00001,BELZ,,792,792,2462,oscarg,OGRUBB960C-XPFS,23160696,BLPOPT,OGRUDMA,,,SR,,R,0.1,0.5,0,0.23,0.73,134261586
,01/25/21,CBOE,B,C,19,SPX,SPX,3,2021,3835,117,C,P,62125000XU,,XCHG,,444,792,oscarg,oscarg,,,,,index_spx,,,,A,0.1,1.9,11.21,0,13.11,134201956
,01/25/21,EDGXOP,B,C,5,PRGO,PRGO,2,2021,47.5,0.35,O,C,CO211UHJIOQ,BLPOPT_20210125-00059-00001,BMLS,,792,792,2462,oscarg,OGRUBB960C-XPFS,23160696,BLPOPT,OGRUDMA,,,SR,,R,0.1,0.5,(0.05),0.23,0.68,134144720
,01/25/21,ISE,B,P,10,XLF,XLF,3,2021,29,0.78,O,C,CO111UHJET4,BLPOPT_20210125-00029-00066,BABW,,792,792,2462,oscarg,OGRUBB960C-XPFS,23160696,BLPOPT,OGRUDMA,etf,Y,SR,,2,0.1,1,4.1,0.45,5.55,134099398
,01/25/21,MCRY,B,P,10,XLF,XLF,3,2021,29,0.78,O,C,CO111UHJET4,BLPOPT_20210125-00029-00066,BAB7,,792,792,2462,oscarg,OGRUBB960C-XPFS,23160696,BLPOPT,OGRUDMA,etf,Y,SR,,2,0.1,1,0,0.45,1.45,134099370
,01/25/21,MIAX,B,C,3,PRGO,PRGO,2,2021,47.5,0.35,O,C,CO211UHJIOQ,BLPOPT_20210125-00059-00001,BOD5,,792,792,2462,oscarg,OGRUBB960C-XPFS,23160696,BLPOPT,OGRUDMA,,,SR,,R,0.1,0.3,0,0.14,0.44,134108352
,01/25/21,MIAX,B,P,10,XLF,XLF,3,2021,29,0.78,O,C,CO111UHJET4,BLPOPT_20210125-00029-00066,BOD5,,792,792,2462,oscarg,OGRUBB960C-XPFS,23160696,BLPOPT,OGRUDMA,etf,Y,SR,,R,0.1,1,0,0.45,1.45,134067263
,01/25/21,NASDAQ,B,C,30,PRGO,PRGO,2,2021,47.5,0.35,O,C,CO111UHJJQB,BLPOPT_20210125-00053-00003,BAMB,,792,792,2462,oscarg,OGRUBB960C-XPFS,23160696,BLPOPT,OGRUDMA,,,SR,,A,0.1,3,(27.00),1.35,(22.65),134140208
,01/25/21,NSDQ BX,B,C,7,PRGO,PRGO,2,2021,47.5,0.35,O,C,CO211UHJIOQ,BLPOPT_20210125-00059-00001,BAMB,,792,792,2462,oscarg,OGRUBB960C-XPFS,23160696,BLPOPT,OGRUDMA,,,SR,,2,0.1,0.7,(5.60),0.32,(4.59),134145013
