Trade Date,Exch,B/S,P/C,Qty,Class,Sym,Mo,Yr,Strike,Price,O/C,CFM,optional data,client_order_ID,Ex Brok,MM ID,CMTA,Ex Firm,Client ID,Billing ID,Account,Trader,compID,cust_ID,Product Code,Penny,parent_type,ise_mt,phlx_mt,Liquidity,Exec Rate,Exec Charge,Exch Trans Fees,OCC Clrg Fees,Total Charges,transaction_ID,modifiedTradeDate,modifiedExch,modifiedBS,modifiedPC,modifiedClass,modifiedSym,modifiedStrike,modifiedPrice,modifiedQty,modifiedOC,modifiedCFM,modifiedExBrok,modifiedTotalCharges,drv_trade_client_account_execution_id
03/01/21,AMEX,S,P,15000,EPD,EPD,3,2021,20.0000,0.100000,C,P,218816051,,E35J,,352,792,oscarg,oscarg,,,,,,Y,,,,C,0.100000000000000,1500.0000,0.0000,0.0000,1500.0000,141643035,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
03/01/21,ISE,S,P,20,DAL,DAL,1,2022,35.0000,2.770000,C,C,210301TMAS.2371                                   ,,TMAS,,444,792,oscarg,oscarg,,,,,,Y,,,,12,0.100000000000000,2.0000,0.0000,0.0000,2.0000,141611098,3/1/2021,ise,s,p,dal,dal,35,2.77,20,c,c,tmas,2,265419
03/01/21,ISE,S,P,10,DAL,DAL,1,2022,35.0000,2.770000,C,C,210301TMAS.2373                                   ,,TMAS,,444,792,oscarg,oscarg,,,,,,Y,,,,12,0.100000000000000,1.0000,0.0000,0.0000,1.0000,141612412,3/1/2021,ise,s,p,dal,dal,35,2.77,10,c,c,tmas,1,265419
03/01/21,ISE,S,P,4,DAL,DAL,1,2022,35.0000,2.770000,C,C,210301TMAS.2373                                   ,,TMAS,,444,792,oscarg,oscarg,,,,,,Y,,,,12,0.100000000000000,0.4000,0.0000,0.0000,0.4000,141679995,3/1/2021,ise,s,p,dal,dal,35,2.77,4,c,c,tmas,0.4,265419
03/01/21,ISE,S,P,4,DAL,DAL,1,2022,35.0000,2.770000,C,C,210301TMAS.2373                                   ,,TMAS,,444,792,oscarg,oscarg,,,,,,Y,,,,12,0.100000000000000,0.4000,0.0000,0.0000,0.4000,141680033,3/1/2021,ise,s,p,dal,dal,35,2.77,4,c,c,tmas,0.4,265419
03/01/21,ISE,S,P,12,DAL,DAL,1,2022,35.0000,2.730000,C,C,210301TMAS.2375                                   ,,TMAS,,444,792,oscarg,oscarg,,,,,,Y,,,,12,0.100000000000000,1.2000,0.0000,0.0000,1.2000,141612379,3/1/2021,ise,s,p,dal,dal,35,2.73,12,c,c,tmas,1.2,265419
03/01/21,ISE,S,P,24,DAL,DAL,1,2022,35.0000,2.740000,C,C,210301TMAS.2375                                   ,,TMAS,,444,792,oscarg,oscarg,,,,,,Y,,,,12,0.100000000000000,2.4000,0.0000,0.0000,2.4000,141612373,3/1/2021,ise,s,p,dal,dal,35,2.74,24,c,c,tmas,2.4,265419
03/01/21,ISE,S,P,14,DAL,DAL,1,2022,35.0000,2.740000,C,C,210301TMAS.2375                                   ,,TMAS,,444,792,oscarg,oscarg,,,,,,Y,,,,12,0.100000000000000,1.4000,0.0000,0.0000,1.4000,141680015,3/1/2021,ise,s,p,dal,dal,35,2.74,14,c,c,tmas,1.4,265419
03/01/21,ISE,S,P,72,DAL,DAL,1,2022,35.0000,2.710000,C,C,210301TMAS.2377                                   ,,TMAS,,444,792,oscarg,oscarg,,,,,,Y,,,,12,0.100000000000000,7.2000,0.0000,0.0000,7.2000,141680067,3/1/2021,ise,s,p,dal,dal,35,2.71,72,c,c,tmas,7.2,265419
03/01/21,PHLX,S,P,155,MOMO,MOMO,1,2023,12.0000,2.550000,C,C,                                                  ,,210,,444,792,oscarg,oscarg,,,,,,Y,,,,N,0.100000000000000,15.5000,0.0000,0.0000,15.5000,141594042,3/1/2021,phlx,s,p,momo,momo,12,2.55,155,c,c,210,15.5,265419
03/01/21,PHLX,S,P,155,MOMO,MOMO,1,2023,12.0000,2.550000,C,C,                                                  ,,210,,444,792,oscarg,oscarg,,,,,,Y,,,,N,0.100000000000000,15.5000,0.0000,0.0000,15.5000,141594353,3/1/2021,phlx,s,p,momo,momo,12,2.55,155,c,c,210,15.5,265419
03/02/21,CBOE,S,C,12,SPX,SPX,3,2021,3895.0000,58.000000,C,P,62161000HF,,BMLS,,444,792,oscarg,oscarg,,,,,index_spx,,,,,A,0.100000000000000,1.2000,7.0800,0.0000,8.2800,141906254,3/2/2021,cboe,s,c,spx,spx,3895,58,12,c,p,bmls,8.28,277832
03/02/21,CBOE,S,C,12,SPX,SPX,3,2021,3895.0000,58.000000,C,P,62161000HF,,BMLS,,444,792,oscarg,oscarg,,,,,index_spx,,,,,A,0.100000000000000,1.2000,7.0800,0.0000,8.2800,141906255,3/2/2021,cboe,s,c,spx,spx,3895,58,12,c,p,bmls,8.28,277832
03/02/21,CBOE,S,C,9,SPX,SPX,3,2021,3895.0000,58.000000,C,P,62161000HF,,BMLS,,444,792,oscarg,oscarg,,,,,index_spx,,,,,A,0.100000000000000,0.9000,5.3100,0.0000,6.2100,141906236,3/2/2021,cboe,s,c,spx,spx,3895,58,9,c,p,bmls,6.21,277832
03/02/21,CBOE,S,C,9,SPX,SPX,3,2021,3895.0000,58.000000,C,P,62161000HF,,BMLS,,444,792,oscarg,oscarg,,,,,index_spx,,,,,A,0.100000000000000,0.9000,5.3100,0.0000,6.2100,141906244,3/2/2021,cboe,s,c,spx,spx,3895,58,9,c,p,bmls,6.21,277832
03/02/21,CBOE,S,C,9,SPX,SPX,3,2021,3895.0000,58.000000,C,P,62161000HF,,BMLS,,444,792,oscarg,oscarg,,,,,index_spx,,,,,A,0.100000000000000,0.9000,5.3100,0.0000,6.2100,141906259,3/2/2021,cboe,s,c,spx,spx,3895,58,9,c,p,bmls,6.21,277832
03/02/21,CBOE,S,C,9,SPX,SPX,3,2021,3895.0000,58.000000,C,P,62161000HF,,BMLS,,444,792,oscarg,oscarg,,,,,index_spx,,,,,A,0.100000000000000,0.9000,5.3100,0.0000,6.2100,141906263,3/2/2021,cboe,s,c,spx,spx,3895,58,9,c,p,bmls,6.21,277832
03/02/21,CBOE,B,P,9,SPX,SPX,3,2021,3895.0000,60.000000,C,P,62161000HF,,BMLS,,444,792,oscarg,oscarg,,,,,index_spx,,,,,A,0.100000000000000,0.9000,5.3100,0.0000,6.2100,141906186,3/2/2021,cboe,b,p,spx,spx,3895,60,9,c,p,bmls,6.21,277832
03/02/21,CBOE,B,P,9,SPX,SPX,3,2021,3895.0000,60.000000,C,P,62161000HF,,BMLS,,444,792,oscarg,oscarg,,,,,index_spx,,,,,A,0.100000000000000,0.9000,5.3100,0.0000,6.2100,141906194,3/2/2021,cboe,b,p,spx,spx,3895,60,9,c,p,bmls,6.21,277832
03/02/21,CBOE,B,P,9,SPX,SPX,3,2021,3895.0000,60.000000,C,P,62161000HF,,BMLS,,444,792,oscarg,oscarg,,,,,index_spx,,,,,A,0.100000000000000,0.9000,5.3100,0.0000,6.2100,141906198,3/2/2021,cboe,b,p,spx,spx,3895,60,9,c,p,bmls,6.21,277832
03/02/21,CBOE,B,P,9,SPX,SPX,3,2021,3895.0000,60.000000,C,P,62161000HF,,BMLS,,444,792,oscarg,oscarg,,,,,index_spx,,,,,A,0.100000000000000,0.9000,5.3100,0.0000,6.2100,141906202,3/2/2021,cboe,b,p,spx,spx,3895,60,9,c,p,bmls,6.21,277832
03/02/21,CBOE,S,P,50,SPX,SPX,4,2021,3675.0000,47.300000,C,P,62161000HF,,BMLS,,444,792,oscarg,oscarg,,,,,index_spx,,,,,A,0.100000000000000,5.0000,29.5000,0.0000,34.5000,141906240,3/2/2021,cboe,s,p,spx,spx,3675,47.3,50,c,p,bmls,34.5,277832
03/02/21,CBOE,S,P,50,SPX,SPX,4,2021,3675.0000,47.300000,C,P,62161000HF,,BMLS,,444,792,oscarg,oscarg,,,,,index_spx,,,,,A,0.100000000000000,5.0000,29.5000,0.0000,34.5000,141906274,3/2/2021,cboe,s,p,spx,spx,3675,47.3,50,c,p,bmls,34.5,277832
03/02/21,CBOE,S,P,38,SPX,SPX,4,2021,3675.0000,47.300000,C,P,62161000HF,,BMLS,,444,792,oscarg,oscarg,,,,,index_spx,,,,,A,0.100000000000000,3.8000,22.4200,0.0000,26.2200,141906268,3/2/2021,cboe,s,p,spx,spx,3675,47.3,38,c,p,bmls,26.22,277832
03/02/21,CBOE,S,P,38,SPX,SPX,4,2021,3675.0000,47.300000,C,P,62161000HF,,BMLS,,444,792,oscarg,oscarg,,,,,index_spx,,,,,A,0.100000000000000,3.8000,22.4200,0.0000,26.2200,141906312,3/2/2021,cboe,s,p,spx,spx,3675,47.3,38,c,p,bmls,26.22,277832
