Trade Date,Exch,B/S,P/C,Qty,Class,Sym,Mo,Yr,Strike,Price,O/C,CFM,optional data,Client Order ID,Ex Brok,MM ID,CMTA,Ex Firm,Client ID,Billing ID,Account,Trader,CompID,Cust ID,Product Code,Penny,Parent Type,ise_mt,phlx_mt,Liquidity,Exec Rate,Exec Charge,Exch Trans Fees,OCC Clrg Fees,Total Charges,transaction_ID
01/04/21,AMEX,S,C,405 ,YUMC,YUMC,1,2022 ,62.50,5.00 ,C,P,214476044,,E35J,,352,792,oscarg,oscarg,,,,,,,,,,N,0.100 ,40.50 ,101.25 ,0.00 ,141.75 ,130128704 
01/05/21,AMEX,S,P,500 ,GDX,GDX,1,2022 ,38.00,5.85 ,C,P,214518935,,E35J,,352,792,oscarg,oscarg,,,,,etf,Y,,,,N,0.100 ,50.00 ,125.00 ,0.00 ,175.00 ,130352689 
01/05/21,AMEX,S,C,500 ,GDX,GDX,1,2022 ,40.00,5.43 ,C,P,214518935,,E35J,,352,792,oscarg,oscarg,,,,,etf,Y,,,,N,0.100 ,50.00 ,125.00 ,0.00 ,175.00 ,130352604 
01/05/21,AMEX,B,P,110 ,ROKU,ROKU,6,2022 ,235.00,40.75 ,O,N,214551565,,E35J,362,010,792,oscarg,oscarg,,,,,,Y,,,,N,0.100 ,11.00 ,27.50 ,0.00 ,38.50 ,130332444 
01/05/21,AMEX,B,C,89 ,SBE,SBE,1,2021 ,45.00,1.15 ,C,C,214517615,,E35J,,608,792,oscarg,oscarg,,,,,,Y,,,,A,0.100 ,8.90 ,0.00 ,0.00 ,8.90 ,130344602 
01/05/21,AMEX,B,C,6 ,SBE,SBE,1,2021 ,45.00,1.15 ,C,C,214517615,,E35J,,608,792,oscarg,oscarg,,,,,,Y,,,,X,0.100 ,0.60 ,0.00 ,0.00 ,0.60 ,130344723 
01/05/21,AMEX,B,C,2 ,SBE,SBE,1,2021 ,45.00,1.15 ,C,C,214517615,,E35J,,608,792,oscarg,oscarg,,,,,,Y,,,,X,0.100 ,0.20 ,1.22 ,0.00 ,1.42 ,130344096 
01/05/21,AMEX,B,C,2 ,SBE,SBE,1,2021 ,45.00,1.15 ,C,C,214517615,,E35J,,608,792,oscarg,oscarg,,,,,,Y,,,,X,0.100 ,0.20 ,1.18 ,0.00 ,1.38 ,130344570 
01/05/21,AMEX,B,C,1 ,SBE,SBE,1,2021 ,45.00,1.15 ,C,C,214517615,,E35J,,608,792,oscarg,oscarg,,,,,,Y,,,,X,0.100 ,0.10 ,0.60 ,0.00 ,0.70 ,130344693 
01/05/21,AMEX,B,C,500 ,XLE,XLE,2,2021 ,45.00,0.79 ,C,C,214568065,,E35J,,551,792,oscarg,oscarg,,,,,etf,Y,,,,N,0.100 ,50.00 ,0.00 ,0.00 ,50.00 ,130342710 
01/05/21,AMEX,S,C,500 ,XLE,XLE,2,2021 ,45.00,0.79 ,C,P,214568195,,E35J,,352,792,oscarg,oscarg,,,,,etf,Y,,,,N,0.100 ,50.00 ,125.00 ,0.00 ,175.00 ,130343367 
01/05/21,AMEX,S,C,750 ,XLE,XLE,2,2021 ,50.00,0.22 ,C,C,214568065,,E35J,,551,792,oscarg,oscarg,,,,,etf,Y,,,,N,0.100 ,75.00 ,0.00 ,0.00 ,75.00 ,130343476 
01/05/21,AMEX,B,C,750 ,XLE,XLE,2,2021 ,50.00,0.22 ,C,P,214568195,,E35J,,352,792,oscarg,oscarg,,,,,etf,Y,,,,N,0.100 ,75.00 ,187.50 ,0.00 ,262.50 ,130342834 
01/06/21,AMEX,S,C,250 ,DD,DD,2,2021 ,105.00,0.15 ,C,C,214600806,,E35J,,444,792,oscarg,oscarg,,,,,,Y,,,,N,0.100 ,25.00 ,0.00 ,0.00 ,25.00 ,130666998 
01/06/21,AMEX,S,C,250 ,DD,DD,2,2021 ,105.00,0.15 ,C,C,214600806,,E35J,,444,792,oscarg,oscarg,,,,,,Y,,,,N,0.100 ,25.00 ,0.00 ,0.00 ,25.00 ,130973170 
01/06/21,AMEX,B,P,250 ,DD,DD,2,2021 ,105.00,30.40 ,C,C,214600806,,E35J,,444,792,oscarg,oscarg,,,,,,Y,,,,N,0.100 ,25.00 ,0.00 ,0.00 ,25.00 ,130666975 
01/06/21,AMEX,B,P,250 ,DD,DD,2,2021 ,105.00,30.40 ,C,C,214600806,,E35J,,444,792,oscarg,oscarg,,,,,,Y,,,,N,0.100 ,25.00 ,0.00 ,0.00 ,25.00 ,130972288 
01/06/21,AMEX,S,P,50 ,PEP,PEP,3,2021 ,120.00,0.80 ,C,C,214631236,,E35J,,111,792,oscarg,oscarg,,,,,,Y,,,,N,0.100 ,5.00 ,0.00 ,0.00 ,5.00 ,130699635 
01/06/21,AMEX,B,P,50 ,PEP,PEP,3,2021 ,145.00,7.05 ,C,C,214631236,,E35J,,111,792,oscarg,oscarg,,,,,,Y,,,,N,0.100 ,5.00 ,0.00 ,0.00 ,5.00 ,130699525 
01/06/21,AMEX,B,C,100 ,SBE,SBE,1,2021 ,50.00,1.10 ,C,C,214602906,,E35J,,608,792,oscarg,oscarg,,,,,,Y,,,,A,0.100 ,10.00 ,0.00 ,0.00 ,10.00 ,130550808 
01/06/21,AMEX,B,P,75 ,TDOC,TDOC,1,2022 ,185.00,31.00 ,C,F,214672116,,E35J,,010,792,oscarg,oscarg,,,,,,Y,,,,N,0.100 ,7.50 ,18.75 ,0.00 ,26.25 ,130588857 
