charge,drv_trade_client_account_execution_id,drv_trade_floor_broker_id
69.96,316989,1
-299.53,318598,1
9.1,318615,1
14,320168,1
140,320219,1
50,320802,1
-36.55,320936,1
70,322110,1
280,322339,1
200.84,323050,1
140,323708,1
-23.7,323712,1
3.6,323862,1
176.26,323982,1
-116.13,323992,1
70,324130,1
45.5,324134,1
-39.37,324312,1
134.8,324749,1
26.13,324751,1
14.85,325204,1
31.9,335434,1
-21.04,325556,1
210,325837,1
153.15,325963,1
-144.57,325965,1
-64,325966,1
-7.6,335422,1
-8.88,335424,1
73.84,335425,1
478.68,335427,1
28.05,326942,1
140,327519,1
140,328178,1
23.8,328180,1
21,328183,1
