drv_trade_id,drv_trade_client_trader_id,drv_trade_client_account_execution_id,floor_broker,date,side,quantity,component_type,contract_type,symbol,expiry,strike,option,price,client_id,client,trader,modifiedDate,modifiedSide,modifiedQuantity,modifiedSymbol,modifiedExpiry,modifiedExpiryMonthOnly,modifiedExpiryYearOnly,modifiedStrike,modifiedOption,modifiedPrice,charge,groupsSeparated,key
59792,122315,309495,Mando,07/01/2021,sell,254,leg,option,CLDR,8/20/2021,16,call,0.1103,714,vivaldi,bnp account,1/7/2021,s,254,cldr,20/8/2021,8,2021,16,c,0.11,18.672432432432434,undefined,undefined
59792,122316,309496,Mando,07/01/2021,sell,5,leg,option,CLDR,8/20/2021,16,call,0.1103,714,vivaldi,gs account,1/7/2021,s,5,cldr,20/8/2021,8,2021,16,c,0.11,0.36756756756756753,undefined,undefined
59514,121682,307918,WEX FIX,7/23/2021,sell,316,leg,option,IPOD,10/15/2021,10,call,0.3685,714,vivaldi,bnp account,23/7/2021,s,316,ipod,15/10/2021,10,2021,10,c,0.37,-24.460740740740743,undefined,undefined
59514,121683,307920,WEX FIX,7/23/2021,sell,35,leg,option,IPOD,10/15/2021,10,call,0.3685,714,vivaldi,gs account,23/7/2021,s,35,ipod,15/10/2021,10,2021,10,c,0.37,-2.7092592592592593,undefined,undefined
59506,121674,307897,Mando,07/01/2021,sell,935,leg,option,IPOF,9/17/2021,10,call,0.4369,714,vivaldi,vivaldi,1/7/2021,s,935,ipof,17/9/2021,9,2021,10,c,0.44,27.89,"[{""drv_trade_id"":""59506"",""drv_trade_client_trader_id"":""121674"",""drv_trade_client_account_execution_id"":""307897"",""floor_broker"":""Mando"",""date"":""07/01/2021"",""side"":""sell"",""quantity"":""935"",""component_type"":""leg"",""contract_type"":""option"",""symbol"":""IPOF"",""expiry"":""9/17/2021"",""strike"":""10"",""option"":""call"",""price"":""0.4369"",""client_id"":""714"",""client"":""vivaldi"",""trader"":""vivaldi"",""modifiedDate"":""1/7/2021"",""modifiedSide"":""s"",""modifiedQuantity"":935,""modifiedSymbol"":""ipof"",""modifiedExpiry"":""17/9/2021"",""modifiedExpiryMonthOnly"":""9"",""modifiedExpiryYearOnly"":""2021"",""modifiedStrike"":10,""modifiedOption"":""c"",""modifiedPrice"":0.44}]",1/7/2021|s|ipof|10|17/9/2021|c|0.44|935
56779,115993,294049,Mando,07/01/2021,sell,250,leg,option,IPOF,9/17/2021,10,call,0.4417,659,milton arbitrage,milton,1/7/2021,s,250,ipof,17/9/2021,9,2021,10,c,0.44,-9.04,"[{""drv_trade_id"":""56779"",""drv_trade_client_trader_id"":""115993"",""drv_trade_client_account_execution_id"":""294049"",""floor_broker"":""Mando"",""date"":""07/01/2021"",""side"":""sell"",""quantity"":""250"",""component_type"":""leg"",""contract_type"":""option"",""symbol"":""IPOF"",""expiry"":""9/17/2021"",""strike"":""10"",""option"":""call"",""price"":""0.4417"",""client_id"":""659"",""client"":""milton arbitrage"",""trader"":""milton"",""modifiedDate"":""1/7/2021"",""modifiedSide"":""s"",""modifiedQuantity"":250,""modifiedSymbol"":""ipof"",""modifiedExpiry"":""17/9/2021"",""modifiedExpiryMonthOnly"":""9"",""modifiedExpiryYearOnly"":""2021"",""modifiedStrike"":10,""modifiedOption"":""c"",""modifiedPrice"":0.44}]",1/7/2021|s|ipof|10|17/9/2021|c|0.44|250
59507,121675,307899,Mando,07/01/2021,sell,160,leg,option,FPAC,8/20/2021,10,call,0.15,714,vivaldi,vivaldi,1/7/2021,s,160,fpac,20/8/2021,8,2021,10,c,0.15,11.64,"[{""drv_trade_id"":""59507"",""drv_trade_client_trader_id"":""121675"",""drv_trade_client_account_execution_id"":""307899"",""floor_broker"":""Mando"",""date"":""07/01/2021"",""side"":""sell"",""quantity"":""160"",""component_type"":""leg"",""contract_type"":""option"",""symbol"":""FPAC"",""expiry"":""8/20/2021"",""strike"":""10"",""option"":""call"",""price"":""0.15"",""client_id"":""714"",""client"":""vivaldi"",""trader"":""vivaldi"",""modifiedDate"":""1/7/2021"",""modifiedSide"":""s"",""modifiedQuantity"":160,""modifiedSymbol"":""fpac"",""modifiedExpiry"":""20/8/2021"",""modifiedExpiryMonthOnly"":""8"",""modifiedExpiryYearOnly"":""2021"",""modifiedStrike"":10,""modifiedOption"":""c"",""modifiedPrice"":0.15}]",1/7/2021|s|fpac|10|20/8/2021|c|0.15|160
56855,116174,294502,WEX FIX,07/02/2021,sell,640,leg,option,FPAC,8/20/2021,10,call,0.15,714,vivaldi,vivaldi,2/7/2021,s,640,fpac,20/8/2021,8,2021,10,c,0.15,163.18,"[{""drv_trade_id"":""56855"",""drv_trade_client_trader_id"":""116174"",""drv_trade_client_account_execution_id"":""294502"",""floor_broker"":""WEX FIX"",""date"":""07/02/2021"",""side"":""sell"",""quantity"":""640"",""component_type"":""leg"",""contract_type"":""option"",""symbol"":""FPAC"",""expiry"":""8/20/2021"",""strike"":""10"",""option"":""call"",""price"":""0.15"",""client_id"":""714"",""client"":""vivaldi"",""trader"":""vivaldi"",""modifiedDate"":""2/7/2021"",""modifiedSide"":""s"",""modifiedQuantity"":640,""modifiedSymbol"":""fpac"",""modifiedExpiry"":""20/8/2021"",""modifiedExpiryMonthOnly"":""8"",""modifiedExpiryYearOnly"":""2021"",""modifiedStrike"":10,""modifiedOption"":""c"",""modifiedPrice"":0.15}]",2/7/2021|s|fpac|10|20/8/2021|c|0.15|640
56850,116167,294488,WEX FIX,07/02/2021,sell,50,leg,option,IPOF,9/17/2021,10,call,0.4104,714,vivaldi,vivaldi,2/7/2021,s,50,ipof,17/9/2021,9,2021,10,c,0.41,-0.6,"[{""drv_trade_id"":""56850"",""drv_trade_client_trader_id"":""116167"",""drv_trade_client_account_execution_id"":""294488"",""floor_broker"":""WEX FIX"",""date"":""07/02/2021"",""side"":""sell"",""quantity"":""50"",""component_type"":""leg"",""contract_type"":""option"",""symbol"":""IPOF"",""expiry"":""9/17/2021"",""strike"":""10"",""option"":""call"",""price"":""0.4104"",""client_id"":""714"",""client"":""vivaldi"",""trader"":""vivaldi"",""modifiedDate"":""2/7/2021"",""modifiedSide"":""s"",""modifiedQuantity"":50,""modifiedSymbol"":""ipof"",""modifiedExpiry"":""17/9/2021"",""modifiedExpiryMonthOnly"":""9"",""modifiedExpiryYearOnly"":""2021"",""modifiedStrike"":10,""modifiedOption"":""c"",""modifiedPrice"":0.41}]",2/7/2021|s|ipof|10|17/9/2021|c|0.41|50
56930,116326,294839,Mando,07/06/2021,sell,1300,leg,option,IPOF,9/17/2021,10,call,0.3593,714,vivaldi,vivaldi,6/7/2021,s,1300,ipof,17/9/2021,9,2021,10,c,0.36,181.74,"[{""drv_trade_id"":""56930"",""drv_trade_client_trader_id"":""116326"",""drv_trade_client_account_execution_id"":""294839"",""floor_broker"":""Mando"",""date"":""07/06/2021"",""side"":""sell"",""quantity"":""1300"",""component_type"":""leg"",""contract_type"":""option"",""symbol"":""IPOF"",""expiry"":""9/17/2021"",""strike"":""10"",""option"":""call"",""price"":""0.3593"",""client_id"":""714"",""client"":""vivaldi"",""trader"":""vivaldi"",""modifiedDate"":""6/7/2021"",""modifiedSide"":""s"",""modifiedQuantity"":1300,""modifiedSymbol"":""ipof"",""modifiedExpiry"":""17/9/2021"",""modifiedExpiryMonthOnly"":""9"",""modifiedExpiryYearOnly"":""2021"",""modifiedStrike"":10,""modifiedOption"":""c"",""modifiedPrice"":0.36}]",6/7/2021|s|ipof|10|17/9/2021|c|0.36|1300
