charge,drv_trade_client_account_execution_id,drv_trade_floor_broker_id
35,305894,1
70,305912,1
70,305913,1
21,306025,1
-1.84,319920,1
49,306179,1
12.86,306445,1
35,322340,1
-0.8,322347,1
24.99,306450,1
undefined,319922,1
undefined,319923,1
12.91,319924,1
undefined,319926,1
56,306937,1
171.7,307401,1
12.91,307402,1
-0.8,307516,1
5.78,307851,1
0.75,307861,1
70,308007,1
-256.15,308124,1
undefined,308157,1
0.2,308159,1
undefined,308161,1
undefined,308163,1
23.72,319928,1
154,308324,1
154,308325,1
332.5,308364,1
0.2,308456,1
1.08,308457,1
undefined,308475,1
24.99,308476,1
-0.8,308477,1
35,308480,1
12.25,308481,1
21.35,308484,1
-72.61,308924,1
1.08,308931,1
143.92,308950,1
-0.8,308952,1
undefined,309376,1
-0.8,309378,1
-19.62,309380,1
4.86,309384,1
undefined,309402,1
undefined,309404,1
21,309448,1
-6.82,309847,1
122.19,309855,1
122.19,309856,1
181.3,309858,1
8.56,309859,1
85.7,309860,1
-24.03,310417,1
122.19,310445,1
33.1,310947,1
21,310949,1
12.86,311242,1
12.86,311244,1
206.5,311387,1
122.19,311513,1
-96.29,322348,1
35,312652,1
-107.65,312668,1
-0.8,312673,1
107.47,313092,1
677.52,313097,1
-4.11,313098,1
1.08,313099,1
42,314528,1
122.19,314956,1
-104.92,315061,1
35,326173,1
-59.14,316021,1
677.52,316241,1
21,314437,1
14,314481,1
