charge,drv_trade_client_account_execution_id,drv_trade_floor_broker_id
35,279391,1
-0.81,281559,1
0.9,279798,1
140,323848,1
58.8,323850,1
245,280146,1
210,280789,1
58.8,280791,1
26.6,280793,1
70,280795,1
26.6,280797,1
30.25,306515,1
22.56,306517,1
55.05,281158,1
11.96,281562,1
49.19,281566,1
11,282126,1
-16.99,282136,1
41.83,282173,1
138.65,282125,1
175,281955,1
175,281956,1
1.19,282099,1
92.46,282872,1
179.54,283212,1
25,283719,1
40.55,283695,1
1.02,305647,1
73.35,284227,1
16.39,284229,1
-205.13,284232,1
350,284920,1
350,284924,1
-0.8,284996,1
629.47,285006,1
5.02,285008,1
43.73,285010,1
70,284707,1
70,284708,1
70,284709,1
70,284710,1
56,285836,1
56,285839,1
5.55,285893,1
13.9,288323,1
1.59,288458,1
47.64,306068,1
-113.64,289106,1
-11.3,289107,1
10.9,289111,1
-62.02,289744,1
75.58,289750,1
6.63,306072,1
-39.3,307188,1
37.5,290384,1
-0.78,290386,1
-41.31,290388,1
34.7,291520,1
95.83,291522,1
-14.19,291524,1
56.01,291526,1
55.65,291920,1
127.9,291922,1
39.75,291928,1
-7.2,292878,1
21.31,293453,1
291.4280727272727,309467,1
6.721927272727273,309469,1
100.54818,282169,1
2.26182,282171,1
175,280493,1
175,280495,1
-2.443636363636364,309500,1
-0.07636363636363637,309502,1
175,281789,1
175,281791,1
47.26937590711176,305653,1
5.260624092888244,305655,1
